,id,gpt-3.5-turbo_A_vote,gpt-3.5-turbo_A_for_lprob,gpt-3.5-turbo_A_against_lprob,gpt-3.5-turbo_H_vote,gpt-3.5-turbo_H_for_lprob,gpt-3.5-turbo_H_against_lprob,gpt-3.5-turbo_Sp_vote,gpt-3.5-turbo_Sp_for_lprob,gpt-3.5-turbo_Sp_against_lprob,gpt-3.5-turbo_FrP_vote,gpt-3.5-turbo_FrP_for_lprob,gpt-3.5-turbo_FrP_against_lprob,gpt-3.5-turbo_KrF_vote,gpt-3.5-turbo_KrF_for_lprob,gpt-3.5-turbo_KrF_against_lprob,gpt-3.5-turbo_MDG_vote,gpt-3.5-turbo_MDG_for_lprob,gpt-3.5-turbo_MDG_against_lprob,gpt-3.5-turbo_SV_vote,gpt-3.5-turbo_SV_for_lprob,gpt-3.5-turbo_SV_against_lprob,gpt-3.5-turbo_V_vote,gpt-3.5-turbo_V_for_lprob,gpt-3.5-turbo_V_against_lprob,gpt-3.5-turbo_R_vote,gpt-3.5-turbo_R_for_lprob,gpt-3.5-turbo_R_against_lprob
0,1143124,for,-0.0049650013,-6.3302116,for,-0.006620516,-6.008791,for,-0.0009072951,-7.3660464,for,-0.013161413,-4.564297,for,-0.0042617,-5.8002,for,-0.018342733,-4.13587,for,-0.005662718,-5.5650654,for,-0.0028733462,-9.535441,for,-0.0022544567,-7.3132496
1,1143313,for,-0.01621783,-4.582317,for,-0.0005888947,-8.988115,for,-0.0066206353,-5.1396713,for,-0.14559777,-2.0398562,for,-0.012753901,-4.6104255,for,-0.018918294,-5.2115874,for,-0.013508179,-4.668959,for,-0.0056820414,-7.577059,for,-0.013421969,-4.9221363
2,1143416,for,-0.009178289,-4.981922,for,-0.0009239653,-7.197583,for,-0.001994897,-6.256054,for,-0.111241035,-2.2797172,for,-0.00777284,-5.0805707,for,-0.0021115975,-6.512993,for,-0.0033362182,-5.9377675,for,-0.0014449955,-9.269156,for,-0.0019335162,-6.603988
3,1143517,for,-0.022537895,-7.122544,for,-0.049231473,-12.523887,for,-0.0007999806,-10.387094,for,-0.007140502,-6.310907,for,-0.011696056,-6.8294067,for,-0.0036475912,-7.472657,for,-0.0020458172,-9.006448,for,-0.010313862,-11.513865,for,-0.009716202,-8.039974
4,1143522,for,-0.0077198446,-5.215953,for,-0.00020294437,-10.203464,for,-0.0019338739,-6.4361343,for,-0.083165474,-2.5765889,for,-0.008696947,-4.9960856,for,-0.0017406282,-6.982894,for,-0.012463746,-4.595399,for,-0.0009691068,-10.373545,for,-0.004510224,-5.9332156
5,1143618,for,-0.0011035411,-13.162398,for,-0.010230908,-16.110262,for,-0.00051419064,-13.819995,for,-0.016905723,-11.38145,for,-0.009808152,-12.404674,for,-0.027944649,-8.385834,for,-0.031167239,-8.762757,for,-0.0054594055,-13.794276,for,-0.015553871,-8.834037
6,1143719,for,-0.001166057,-9.154429,for,-0.0026459293,-13.817944,for,-0.00015383612,-11.03057,for,-0.0033902833,-7.7870665,for,-0.0010307846,-9.8227,for,-0.0016174539,-9.795404,for,-0.0033639085,-9.365304,for,-0.00084298005,-12.803684,for,-0.0013747569,-9.698288
7,1143820,for,-0.12550572,-2.6024363,for,-0.014177612,-4.424149,for,-0.005110661,-5.748761,for,-0.23851946,-1.6040704,for,-0.06967562,-2.8932383,for,-0.086833335,-2.5649521,for,-0.04502069,-3.1693683,for,-0.01108048,-5.4328732,for,-0.05026454,-3.3210318
8,1143921,mot,-1.8151411,-0.18222558,for,-0.060360704,-4.3899164,mot,-0.75846356,-0.67904156,for,-0.36401463,-1.20823,mot,-0.8130421,-0.59954876,mot,-10.591458,-0.0139070265,mot,-4.1791334,-0.019574199,for,-0.5701008,-0.85783577,mot,-3.8795443,-0.031842157
9,114465,for,-0.07280958,-4.3313203,for,-0.025683183,-7.259652,for,-0.0077004414,-5.0615373,for,-0.19289133,-1.7549527,for,-0.04477679,-3.2355535,for,-0.030333046,-3.669989,for,-0.08210831,-2.5817955,for,-0.012188319,-6.090821,for,-0.018408384,-4.4877934
