,id,gpt-3.5-turbo_vote,gpt-3.5-turbo_for_lprob,gpt-3.5-turbo_against_lprob
0,1143124,for,-0.00012058931,-13.107241
1,1143313,for,-0.014592981,-5.114992
2,1143416,for,-5.9437833e-05,-11.467758
3,1143517,for,-0.00028088156,-13.533864
4,1143522,for,-0.0002134343,-11.773094
5,1143618,for,-0.00076340704,-16.433798
6,1143719,for,-0.00022487417,-15.466024
7,1143820,for,-0.0022055702,-6.627587
8,1143921,for,-0.029976677,-3.920388
9,114465,for,-0.0012884517,-7.7437677
10,114474,for,-0.00014811802,-13.517011
11,114481,for,-0.00053087185,-12.344609
12,114482,for,-9.543734e-05,-14.169294
13,114483,for,-0.0010655591,-7.504316
14,114613,for,-0.0005059693,-11.380664
15,114622,for,-0.00012237004,-15.112097
16,114631,for,-0.0002108118,-8.638783
17,114640,for,-9.138441e-05,-16.917912
18,114722,mot,-0.744793,-0.64503485
19,114733,for,-0.0013420164,-7.1494436
20,114741,for,-2.129266e-05,-17.478153
21,114750,for,-1.9862217e-05,0.0
22,114805,mot,-2.559325,-0.08129009
23,114806,for,-0.00015812746,-13.9642315
24,114807,for,-2.58224e-05,-16.488329
25,114808,for,-3.4285862e-05,-14.81547
26,114812,for,-0.0010496005,-8.454726
27,114813,for,-0.0009870809,-8.5777445
28,114814,for,-0.0013997605,-13.047628
29,114821,for,-4.477578e-05,-15.109731
30,114848,for,-0.0005719788,-10.159409
31,114849,for,-0.0046361303,-6.912145
32,114854,for,-0.00013059509,-12.245746
33,114863,for,-0.000118086034,-18.856806
34,114865,for,-0.00057543203,-8.603789
35,114866,for,-0.00035596156,-12.368085
36,114867,for,-0.00038348293,-15.254904
37,114872,for,-0.03522474,-3.4986455
38,114881,for,-0.00012106613,-12.073056
39,1148910,for,-0.00013536324,-11.070047
40,114900,for,-0.0017932282,-11.944496
41,114914,for,-0.00012380048,-14.91139
42,114921,for,-2.7014437e-05,-15.856466
43,114922,for,-5.6338537e-05,-18.370808
44,114933,for,-0.0008729901,-9.210721
45,114970,for,-0.0017109977,-6.864546
46,114983,for,-0.000102827966,-13.559568
47,114994,for,-0.0001596771,-15.109742
48,115001,for,-0.039251942,-3.3396175
49,115002,for,-0.00053265993,-12.709237
50,115015,for,-0.00024620062,-13.960411
51,115020,for,-0.00014156183,-14.982201
52,115030,for,-0.004387271,-7.759661
53,115031,for,-1.0921943e-05,-18.440134
54,115032,for,-1.0206721e-05,-19.591394
55,115033,for,-2.1173457e-05,-19.100718
56,115034,for,-2.6656826e-05,-18.677032
57,115035,for,-0.000111410634,-16.3286
58,1150513,mot,-0.70939267,-0.67995083
59,1150514,for,-0.022785313,-3.9132597
60,1150612,for,-3.5120287e-05,-16.562305
61,1150710,for,-0.0064705834,-5.634412
62,115087,for,-4.5491004e-05,-12.195093
63,115091,for,-0.00020437481,-14.67178
64,115092,for,-0.00010342398,-14.481571
65,115093,for,-4.2510914e-05,-13.443414
66,115094,for,-0.00057138276,-8.822297
67,115095,for,-0.00012535013,-12.697608
68,115096,for,-4.00813e-06,0.0
69,115098,for,-7.58424e-06,-19.603252
70,115099,for,-0.0014171422,-6.907097
71,1151015,mot,-2.2864015,-0.10867864
72,1151111,for,-0.0046178647,-5.5853386
73,115120,for,-0.00014632997,-16.12952
74,115130,for,-0.033177383,-3.7218447
75,115140,for,-0.33614326,-1.2567899
76,115184,for,-0.0010827098,-8.95724
77,115195,for,-0.0053045508,-5.5651226
78,115203,for,-0.0008291635,-9.280589
79,115216,for,-0.0009000237,-9.500288
80,115217,for,-0.001249639,-7.5430837
81,115221,for,-0.00014835644,-15.28862
82,115232,for,-0.000722799,-12.647228
83,115240,for,-4.2272506e-05,-15.657091
84,115430,for,-0.00029458632,-8.981553
85,115392,for,-2.188868e-05,-14.45963
86,115400,for,-0.00015109812,-10.409025
87,115420,for,-0.00011844365,-14.801735
88,115446,for,-0.00037037418,-12.067305
89,115455,for,-0.00016671013,-12.307549
90,115464,for,-0.0039043308,-6.56761
91,115473,for,-0.00075805024,-10.801606
92,115482,for,-0.015772266,-4.3036046
93,115491,for,-0.0075653372,-7.834716
94,115520,for,-0.0027600566,-8.250093
95,115532,for,-4.7875077e-05,-14.7046795
96,115550,for,-6.420598e-05,-13.733766
97,1156824,for,-0.00014597236,-10.373073
98,1156914,for,-0.0015108126,-7.571207
99,1156918,for,-0.6192734,-0.7763741
100,1156919,for,-0.00018494461,-11.903507
101,1156922,for,-0.0016292405,-14.4898205
102,1157020,for,-0.3669833,-1.1890544
103,1157021,for,-0.0016562556,-8.957032
104,1157115,for,-0.0012701126,-7.7304554
105,1157216,for,-6.0391463e-05,-17.292458
106,1157217,for,-0.00040362097,-10.29551
107,1157427,for,-0.0009960101,-8.214792
108,1157610,for,-0.0015179537,-9.239435
109,1157711,for,-0.00040278657,-13.142498
110,115796,mot,-2.1320498,-0.12652998
111,115797,mot,-1.3833416,-0.28960684
112,115803,for,-0.00051335624,-8.731295
113,115818,mot,-2.8827865,-0.059036948
114,115822,for,-0.0046210685,-13.533125
115,115824,for,-7.9418505e-06,-16.943943
116,115825,for,-0.01860218,-4.740717
117,1158325,for,-0.00041113084,-11.574401
118,115850,for,-0.0014207109,-8.797256
119,115860,mot,-0.88118786,-0.5402455
120,115870,for,-0.0015048631,-9.4053
121,115940,for,-0.00012237004,-16.24433
122,115950,for,-1.700133e-05,0.0
123,115960,for,-3.9292416e-05,-13.462802
124,115961,for,-9.133887e-06,-18.843163
125,116033,for,-5.8961017e-05,-16.260248
126,116034,for,-0.00014382669,-13.887204
127,116035,for,-0.00037478472,-9.440711
128,116036,for,-0.00022988072,-15.546683
129,116042,for,-0.0011745095,-9.725416
130,116050,for,-0.00031830417,-13.516129
131,116061,for,-0.00033367777,-14.349419
132,116072,for,-1.5332478e-05,-18.348618
133,116073,for,-0.027778748,-3.6820776
134,116081,for,-0.0079558045,-16.404121
135,116090,for,-0.00021867557,-14.69781
136,116091,for,-0.00041136926,-10.34937
137,116092,for,-2.355753e-05,-18.189852
138,116093,for,-0.0006236802,-13.070932
139,116094,for,-0.00076841365,-12.485064
140,116131,for,-0.00049691345,-13.8193445
141,116142,for,-0.00015312091,-16.389795
142,116153,for,-0.000127615,-12.869827
143,116193,for,-2.057744e-05,-17.759209
144,116194,for,-1.1994775e-05,-17.939241
145,116211,for,-1.0802739e-05,-13.837823
146,116212,for,-0.0031790214,-6.6513267
147,116280,mot,-2.0868711,-0.13662636
148,116314,for,-0.0059407707,-6.679136
149,116315,for,-0.010585666,-6.2750835
150,116316,for,-0.056623302,-3.3958108
151,116327,for,-0.48119244,-0.99206436
152,116330,mot,-1.0783093,-0.43552133
153,116331,mot,-2.4183302,-0.110625304
154,116332,mot,-0.90000546,-0.5269872
155,1163615,for,-0.0003893239,-14.99192
156,1163616,for,-5.3954464e-05,-15.250804
157,1163617,for,-0.0042180093,-11.163796
158,1163714,for,-0.00021438424,-11.640294
159,116389,for,-0.00021819877,-9.093106
160,1163810,for,-5.7172965e-05,-14.0876465
161,1163811,for,-5.8484206e-05,-16.216717
162,1163812,for,-0.00010688089,-14.706427
163,1163813,for,-0.00058222294,-11.454064
164,116396,mot,-1.5146091,-0.2616337
165,116397,for,-0.00020985818,-13.075426
166,116398,for,-6.6947665e-05,-14.586319
167,116401,for,-0.02833072,-4.001458
168,116402,for,-0.00069265877,-9.403578
169,116404,for,-0.00042376274,-16.770292
170,116405,for,-0.000321519,-9.961621
171,116521,for,-0.0046971226,-6.368484
172,116522,for,-0.00057114434,-9.786866
173,116523,for,-0.00034821697,-12.487277
174,116535,for,-0.00029732802,-11.718428
175,116536,for,-0.0015001025,-7.743884
176,116537,for,-5.6219335e-05,-17.114202
177,116543,for,-5.7961847e-06,-18.455835
178,116544,for,-0.0010781838,-8.770972
179,116561,for,-2.4153549e-05,-15.661098
180,116562,for,-7.703444e-06,-15.453844
181,116588,for,-0.0018054877,-8.557242
182,116596,for,-0.0007330321,-10.503892
183,116597,for,-0.00010509284,-13.682482
184,116604,for,-0.0013255993,-12.975878
185,116605,for,-5.6769813e-06,-18.382992
186,116629,for,-6.241792e-05,-13.599811
187,1166511,for,-0.60564876,-0.79413676
188,1167316,mot,-2.5974908,-0.08027131
189,1167317,mot,-1.0883667,-0.4137452
190,1167318,for,-0.00024620062,-13.136
191,1167319,for,-4.5252596e-05,-16.557867
192,1167320,for,-0.0022100853,-6.4046397
193,1167415,for,-0.009758333,-5.004847
194,1167512,for,-0.00011486754,-15.3979645
195,1167513,for,-0.0021280183,-6.556354
196,1167514,mot,-2.063111,-0.14660719
197,1167611,for,-0.45700857,-1.0054362
198,1167710,for,-0.0007880675,-13.5048485
199,116789,for,-0.00035727277,-13.94798
200,116791,for,-1.998142e-05,-13.044656
201,116792,for,-0.00042042506,-14.065291
202,116793,for,-0.00018029935,-12.322303
203,116794,for,-0.00072494097,-12.267775
204,116795,for,-7.326546e-05,-15.872262
205,116796,mot,-2.6543176,-0.07371303
206,116797,for,-0.0003454753,-14.695265
207,116798,for,-0.5712897,-0.83375996
208,116880,mot,-0.7970871,-0.6051048
209,1169118,for,-0.000377288,-11.690298
210,1169119,for,-0.0024019356,-9.253209
211,1169120,mot,-1.318728,-0.31327677
212,1169217,for,-0.00023488728,-12.90749
213,1169313,for,-0.00025966697,-13.956032
214,1169411,for,-0.0004886921,-14.858137
215,1169412,for,-0.00048940734,-12.300281
216,1169414,for,-0.042349577,-3.4835784
217,1169415,for,-0.00021521868,-13.060675
218,116958,for,-0.54742223,-0.8743685
219,116959,for,-0.00095529016,-12.481297
220,1169510,for,-0.015187611,-4.266437
221,116967,for,-0.0060792915,-6.985041
222,116971,for,-0.03788999,-3.4404454
223,116972,for,-9.698699e-05,-10.840044
224,116973,for,-1.735894e-05,-18.099339
225,116974,for,-0.0134313805,-5.668598
226,116976,for,-0.080607474,-2.5631094
227,117000,for,-0.00091872393,-12.269353
228,117112,for,-0.000517886,-10.10916
229,117121,for,-0.010483506,-5.3881025
230,1171421,for,-0.004632334,-13.916156
231,1171517,for,-0.0021207577,-6.709215
232,1171519,for,-0.57935095,-0.8467994
233,1171616,for,-0.0008095059,-13.5513525
234,1171618,for,-0.00011009939,-14.649903
235,1171620,for,-0.000663707,-12.259708
236,1171715,for,-0.0002969704,-12.860341
237,117189,for,-0.00062558375,-11.109934
238,1171810,for,-0.00021212305,-9.362305
239,117196,for,-0.2618159,-1.4779872
240,117197,for,-0.0010997301,-8.884999
241,117198,for,-0.6481223,-0.7429023
242,1171912,for,-0.001808222,-8.768076
243,1172011,for,-0.59119,-0.8101193
244,1172013,for,-0.00017278951,-16.374174
245,1172014,for,-0.0010193521,-10.875854
246,117214,mot,-1.768675,-0.18742955
247,117215,mot,-1.5627971,-0.23643832
248,117223,for,-0.0053902804,-5.501259
249,117231,mot,-6.057591,-0.0042920844
250,1172423,for,-0.028013391,-3.7442553
251,1172522,mot,-10.534282,-0.0010542457
252,117273,for,-0.0527944,-3.004321
253,117282,for,-0.00014907165,-13.087675
254,117294,for,-0.00026848805,-13.673122
255,117305,for,-0.00026431592,-9.039424
256,1173313,for,-0.0018936526,-11.646996
257,1173515,for,-0.000107715314,-15.713267
258,1173614,for,-8.299462e-06,-16.93311
259,117380,for,-0.00014609157,-13.507411
260,117390,for,-9.317247e-05,-13.615639
261,117391,for,-0.1000779,-2.3644383
262,1174315,mot,-1.0655241,-0.42460912
263,1174410,mot,-3.0086782,-0.06809207
264,1174512,mot,-8.459626,-0.0013876127
265,1174613,mot,-2.890223,-0.086435765
266,117478,mot,-1.072139,-0.43438262
267,117489,mot,-3.93711,-0.023995286
268,1174911,for,-0.022801634,-4.1993093
269,1175014,for,-8.418666e-06,-16.852833
270,117511,for,-0.00020437481,-12.1757965
271,1175216,for,-0.010267253,-4.9639473
272,117536,for,-0.0016751834,-8.677039
273,117537,for,-0.00050751894,-13.477743
274,117543,for,-0.00028255043,-9.60692
275,117552,for,-0.00021796036,-9.929671
276,117554,for,-0.0010538881,-10.719073
