,id,gpt-4o-mini_translate
0,1143124,"Present a case for raising the wage level in female-dominated professions in the public sector, and consider a gender equality fund for these, which would be in addition to regular collective bargaining agreements and distributed after negotiations between the parties."
1,1143313,Investigate the consequences of the hospitals not receiving the 75 million that the government itself states it cost when the hospitals took responsibility for the assault reception. The results of the investigation are to be presented to the Storting no later than together with the proposal for the state budget for 2020.
2,1143416,"Assume that good and voluntary processes should be the basis for changes in the county structure. Mergers of counties should be based on voluntariness. In cases where counties do not wish to merge, the mergers will not be carried out."
3,1143517,"Present a message about taxes where the effects on, among other things, distribution, employment, value creation, and jobs across the country are analyzed, and where the message aims to lay the foundation for a better and more predictable tax policy."
4,1143522,Establish a grant scheme that covers the costs associated with the disposal of waste following voluntary cleanup actions. The new scheme must be viewed in conjunction with the existing scheme that has already been implemented for measures against marine littering and the spread of microplastics.
5,1143618,Present a parliamentary report on a stronger focus on bioenergy.
6,1143719,"Initiate a dialogue with the Church of Norway, the Employers' Organization for Church Activities, KS, relevant voluntary heritage organizations, and other stakeholders on how a strengthened strategy for the maintenance of culturally and historically significant churches can be developed."
7,1143820,"Present a proposal for changes to the regulations regarding the obligation to cover costs for archaeological investigations in connection with expansions and new constructions of operational buildings on ordinary farms, so that the main rule becomes that the state, through a grant scheme, covers the costs of such investigations."
8,1143921,Initiate the project for the procurement of new tanks for the mechanized maneuver units in the Army during 2018.
9,114465,"Ensure that all imported feed, including from EU countries, is inspected and approved by the Food Safety Authority before further distribution."
10,114474,"Investigate whether it is possible to use actual yields as a basis for calculating crop damage compensation in forage production, to ensure that producers with yields higher than the normal yield in the municipality receive adequate compensation in the event of loss."
11,114481,Review the crop damage compensation scheme to prevent the agricultural sector from being undermined due to economic losses in the face of greater climate changes in the years to come.
12,114482,"Establish a working group with representation from the agricultural unions that can develop a model for a climate fund for agriculture, and as soon as possible report back to the Parliament with such a proposal."
13,114483,Implement an extraordinary monitoring program to detect any disease outbreaks as early as possible due to the extraordinary import of feed.
14,114613,Propose a legislative amendment that grants children in grades 1-4 and grades 1-7 for children with special needs a legal right to a place in the after-school care program.
15,114622,Investigate the introduction of free core hours in the after-school program for low-income families.
16,114631,"Clarify to the municipalities that defaulted parental payments can only be sanctioned through ordinary forms of debt collection, and not by depriving a child of a place in the after-school program."
17,114640,Consider relevant measures to prevent students from being excluded from after-school care (SFO) due to their parents' financial situation.
18,114722,"Introduce additional regulations for tanning beds to limit the occurrence of melanoma, including investigating a ban on advertising."
19,114733,"Reassess the regulatory and enforcement regime for tanning salons to limit the occurrence of melanoma, including exploring a ban on advertising."
20,114741,Ensure sufficient capacity within the pathology field to be prepared for the anticipated increase in both melanoma and other cancers in the coming years.
21,114750,"Facilitate a more comprehensive and structured effort on information, prevention, and early detection of skin cancer."
22,114805,"Ensure that the website hvakostertannlegen.no becomes a real tool for customers by having all dentists register their prices there in a way that makes them comparable. The government is also asked to consider measures against dentists who choose not to use this site, while simultaneously running a practice where they receive reimbursements for dental treatments from the public sector."
23,114806,"Assess the need for an extension of rights under the National Insurance Act for individuals with certain cancer diagnoses that affect oral health, as well as cancer survivors with aftereffects that impact dental health."
24,114807,Promote measures to reduce antibiotic resistance in the Norwegian dental health service and measures to prevent an increase in dental treatment in countries with a high risk of spreading resistant bacteria.
25,114808,"Evaluate the competence centers for dental health, with the premise that the competence centers should contribute to a decentralization and further development of regional expertise in dental health."
