,id,gpt-3.5-turbo_left_vote,gpt-3.5-turbo_left_for_lprob,gpt-3.5-turbo_left_against_lprob,gpt-3.5-turbo_right_vote,gpt-3.5-turbo_right_for_lprob,gpt-3.5-turbo_right_against_lprob,gpt-3.5-turbo_center_vote,gpt-3.5-turbo_center_for_lprob,gpt-3.5-turbo_center_against_lprob
0,1143124,for,-6.408677e-05,-16.273945,mot,-5.128401,-0.016960222,for,-0.00034464084,-11.306392
1,1143313,for,-6.849731e-05,-14.384396,for,-0.031649422,-4.795167,for,-0.00045569832,-10.563522
2,1143416,for,-0.00135964,-10.433588,for,-0.16258128,-1.9562215,for,-0.00068205333,-8.24343
3,1143517,for,-0.00083166314,-12.670637,for,-0.0429389,-4.8206735,for,-0.0037764544,-13.564766
4,1143522,for,-2.1054253e-05,-13.4639435,for,-0.4794711,-1.0647677,for,-0.0009979174,-8.9225235
5,1143618,for,-0.0020439136,-12.02337,for,-0.09577812,-3.1096141,for,-0.0021575184,-12.8228245
6,1143719,for,-0.0027954914,-13.100188,for,-0.08476533,-3.1486979,for,-0.0010954499,-14.523957
7,1143820,for,-0.00016516048,-9.72096,for,-0.30948606,-1.3386914,for,-0.002390756,-6.1419096
8,1143921,mot,-14.412329,-0.0005150251,for,-0.040407915,-3.4839733,mot,-1.0471288,-0.43972218
9,114465,for,-0.00086620287,-7.838059,for,-0.06691517,-3.6787374,for,-0.0014258293,-7.15512
10,114474,for,-0.00041363045,-10.892826,for,-0.5705597,-1.0108788,for,-0.0012038043,-9.742985
11,114481,for,-9.901345e-05,-15.660717,for,-0.061492395,-3.8998313,for,-0.00020449402,-13.101824
12,114482,for,-0.00084524497,-16.387857,for,-0.26554772,-1.6546354,for,-0.004137649,-11.185906
13,114483,mot,-0.86254853,-0.54896134,mot,-0.8272422,-0.5796569,for,-0.09750988,-2.3814607
14,114613,for,-8.804671e-05,-17.17114,mot,-1.161335,-0.55944055,for,-0.007868756,-10.016278
15,114622,for,-0.00014597236,-17.49543,mot,-0.8470275,-0.5762984,for,-0.00023643693,-14.933701
16,114631,for,-1.7954959e-05,-14.231626,for,-0.037232213,-3.31873,for,-0.00025633295,-10.695296
17,114640,for,-0.00043674864,-18.389355,for,-0.06941798,-4.253542,for,-9.4245304e-05,-18.678644
