Unnamed: 0,id,gpt-4o-mini_category
0,1143124,Arbeid og sosial
1,1143313,Helse og omsorg
2,1143416,Kommunal og forvaltning
3,1143517,Finans
4,1143522,Energi og miljø
5,1143618,Energi og miljø
6,1143719,Familie og kultur
7,1143820,Familie og kultur
8,1143921,Utenriks og forsvar
9,1196815,Energi og miljø
10,119691,Finans
11,119702,Energi og miljø
12,119713,Justis
13,119724,Justis
14,1197211,Arbeid og sosial
15,119735,Energi og miljø
16,119738,Helse og omsorg
17,119739,Justis
18,1197312,Finans
19,1197314,Finans
20,119746,Energi og miljø
21,119757,Familie og kultur
22,1197513,Transport og kommunikasjon
23,121592,Transport og kommunikasjon
24,121593,Transport og kommunikasjon
25,121601,Næring
26,1232711,Familie og kultur
27,123289,Arbeid og sosial
28,1232810,Helse og omsorg
29,123297,Familie og kultur
30,123303,Utdanning og forskning
31,123304,Familie og kultur
32,123305,Familie og kultur
33,123306,Familie og kultur
34,123308,Helse og omsorg
35,123312,Arbeid og sosial
36,130751,Familie og kultur
37,1307641,Energi og miljø
38,1307740,Helse og omsorg
39,1307842,Energi og miljø
40,1307930,Utenriks og forsvar
41,1307931,Energi og miljø
42,1308032,Arbeid og sosial
43,1308138,Energi og miljø
44,1308229,Helse og omsorg
45,1308237,Energi og miljø
46,1308243,Utenriks og forsvar
47,1308314,Justis
48,1308315,Kommunal og forvaltning
49,130849,Transport og kommunikasjon
50,1308510,Energi og miljø
51,1308512,Utenriks og forsvar
52,130867,Transport og kommunikasjon
53,130873,Finans
54,1308813,Næring
55,130892,Kommunal og forvaltning
56,130894,Energi og miljø
57,130895,Energi og miljø
58,130898,Energi og miljø
59,1308911,Energi og miljø
60,1308916,Justis
61,1308917,Helse og omsorg
62,1308918,Transport og kommunikasjon
63,1309124,Justis
64,1309239,Arbeid og sosial
65,1309334,Familie og kultur
66,1309426,Utdanning og forskning
67,1309536,Justis
68,1355916,Finans
69,1355918,Utenriks og forsvar
70,1356114,Arbeid og sosial
71,135628,Energi og miljø
72,135629,Energi og miljø
73,1356311,Energi og miljø
74,135647,Finans
75,1356410,Justis
76,1356412,Energi og miljø
77,1356413,Helse og omsorg
78,135651,Finans
79,135652,Arbeid og sosial
80,135653,Helse og omsorg
81,135654,Energi og miljø
82,135655,Utdanning og forskning
83,135656,Helse og omsorg
84,139561,Arbeid og sosial
85,139572,Helse og omsorg
86,139573,Helse og omsorg
87,139584,Arbeid og sosial
88,139589,Justis
89,139595,Helse og omsorg
90,139596,Helse og omsorg
91,139607,Familie og kultur
92,139608,Utenriks og forsvar
93,1396110,Familie og kultur
94,141782,Justis
95,141783,Helse og omsorg
96,141784,Justis
97,141785,Familie og kultur
98,141796,Helse og omsorg
99,141807,Helse og omsorg
100,141811,Familie og kultur
101,146495,Energi og miljø
102,146503,Energi og miljø
103,146504,Energi og miljø
104,146526,Energi og miljø
105,146527,Energi og miljø
106,146528,Energi og miljø
107,1473458,Energi og miljø
108,1473551,Finans
109,1473650,Finans
110,1473653,Finans
111,1473746,Helse og omsorg
112,1473755,Finans
113,1473756,Finans
114,1473760,Næring
115,1473841,Finans
116,1473843,Helse og omsorg
117,1473947,Arbeid og sosial
118,1473948,Arbeid og sosial
119,1473949,Arbeid og sosial
120,1473954,Finans
121,1474057,Finans
122,1474139,Arbeid og sosial
123,1474140,Finans
124,1474142,Finans
125,1474144,Helse og omsorg
126,1474145,Helse og omsorg
127,1474152,Finans
128,1474159,Arbeid og sosial
129,1474265,Energi og miljø
130,1474366,Energi og miljø
131,1474467,Justis
132,1474561,Helse og omsorg
133,1474563,Utenriks og forsvar
134,1474564,Justis
135,1474569,Energi og miljø
136,1474687,Finans
137,1474768,Energi og miljø
138,1474874,Helse og omsorg
139,1475062,Helse og omsorg
140,147516,Transport og kommunikasjon
141,147517,Energi og miljø
142,1475216,Kommunal og forvaltning
143,147539,Transport og kommunikasjon
144,1475311,Helse og omsorg
145,146848,Energi og miljø
146,1468415,Transport og kommunikasjon
147,147541,Kommunal og forvaltning
148,147542,Justis
149,147544,Helse og omsorg
150,147545,Energi og miljø
151,1475410,Kommunal og forvaltning
152,1475414,Kommunal og forvaltning
153,146863,Utdanning og forskning
154,1468612,Helse og omsorg
155,1468613,Helse og omsorg
156,1475536,Kommunal og forvaltning
157,1475635,Finans
158,1469070,Utenriks og forsvar
159,1469089,Utdanning og forskning
160,1469138,Helse og omsorg
161,1475719,Helse og omsorg
162,1475823,Arbeid og sosial
163,1475917,Finans
164,1476018,Finans
165,1476021,Helse og omsorg
166,1476124,Helse og omsorg
167,1476125,Arbeid og sosial
168,1476127,Helse og omsorg
169,1476129,Helse og omsorg
170,1476132,Helse og omsorg
171,1469722,Arbeid og sosial
172,1469820,Helse og omsorg
173,1469826,Helse og omsorg
174,1469828,Helse og omsorg
175,1469831,Helse og omsorg
176,1469834,Familie og kultur
177,1469988,Utdanning og forskning
178,1479030,Helse og omsorg
179,152141,Kommunal og forvaltning
180,152152,Energi og miljø
181,152163,Energi og miljø
182,151826,Justis
183,151837,Utdanning og forskning
184,151845,Utenriks og forsvar
185,151851,Justis
186,151852,Justis
187,151853,Justis
188,151854,Familie og kultur
189,155744,Arbeid og sosial
190,155751,Helse og omsorg
191,155755,Arbeid og sosial
192,155762,Arbeid og sosial
193,155766,Arbeid og sosial
194,155773,Helse og omsorg
195,1557810,Næring
196,155797,Arbeid og sosial
197,155799,Arbeid og sosial
198,1558068,Næring
199,1558169,Helse og omsorg
200,1558211,Helse og omsorg
201,1558215,Næring
202,1558312,Finans
203,1558413,Næring
