"id","sak_id","sak_fremmet_id","votering_id","number","forslag_id","korttittel","forslag_betegnelse","forslag_partier","forslag_tekst","votering_tid","antall_for","antall_ikke_tilstede","antall_mot","vedtatt","A_vote","FrP_vote","H_vote","KrF_vote","MDG_vote","PF_vote","R_vote","SV_vote","Sp_vote","V_vote","kommentar","behandlet_sesjon_id","dokumentgruppe","emne_liste","status","tittel","type","komite","category"
"1143124","73249","73249","11431","24","40053809","Trontaledebatt","Forslag nr. 24 fra Bjørnar Moxnes på vegne av Rødt","['R']","Stortinget ber regjeringen legge fram en sak om å heve lønnsnivået i de kvinnedominerte yrkene i offentlig sektor, og vurdere en likelønnspott for disse, som kommer i tillegg til ordinære tariffoppgjør og fordeles etter forhandlinger mellom partene.","2018-10-04T16:22:15.077","9","69","91","False","-1.0","-1.0","-1.0","-1.0","-1.0","0.0","1.0","1.0","-1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1143313","73249","73249","11433","13","40053798","Trontaledebatt","Forslag nr. 13 fra Audun Lysbakken på vegne av Sosialistisk Venstreparti","['SV']","Stortinget ber regjeringen undersøke konsekvensene av at sykehusene ikke fikk de 75 millionene som regjeringen selv sier det kostet da sykehusene fikk ansvar for overgrepsmottak. Resultatene av undersøkelsen skal legges fram for Stortinget senest sammen med forslaget til statsbudsjett for 2020.","2018-10-04T16:22:58.29","20","67","82","False","-1.0","-1.0","-1.0","-1.0","1.0","0.0","1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1143416","73249","73249","11434","16","40053801","Trontaledebatt","Forslag nr. 16 fra Eirik Sivertsen på vegne av Arbeiderpartiet","['A']","Stortinget ber regjeringen legge til grunn at gode og frivillige prosesser skal være utgangspunkt for endringer av fylkesstrukturen. Fylkessammenslåinger skal bygge på frivillighet. I de tilfeller der fylker selv ikke ønsker det, gjennomføres ikke sammenslåingene.","2018-10-04T16:23:33.227","49","67","53","False","1.0","-1.0","-1.0","-1.0","1.0","0.0","1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1143517","73249","73249","11435","17","40053802","Trontaledebatt","Forslag nr. 17 fra Marit Arnstad på vegne av Senterpartiet","['Sp']","Stortinget ber regjeringen legge frem en melding om avgifter der virkninger for blant annet fordeling, sysselsetting, verdiskaping og arbeidsplasser i hele landet analyseres og der meldingen skal legge grunnlag for en bedre og mer forutsigbar avgiftspolitikk.","2018-10-04T16:23:53.08","20","67","82","False","-1.0","-1.0","-1.0","-1.0","1.0","0.0","1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1143522","73249","73249","11435","22","40053807","Trontaledebatt","Forslag nr. 22 fra Marit Arnstad på vegne av Senterpartiet","['Sp']","Stortinget ber regjeringen etablere en tilskuddsordning som dekker kostnadene forbundet med leveranser av avfall etter frivillige ryddeaksjoner. Den nye ordningen må ses i sammenheng med den ordningen som allerede er innført for tiltak mot marin forsøpling og spredning av mikroplast.","2018-10-04T16:23:53.08","20","67","82","False","-1.0","-1.0","-1.0","-1.0","1.0","0.0","1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1143618","73249","73249","11436","18","40053803","Trontaledebatt","Forslag nr. 18 fra Marit Arnstad på vegne av Senterpartiet","['Sp']","Stortinget ber regjeringen legge fram en stortingsmelding om en sterkere satsing på bioenergi.","2018-10-04T16:24:12.837","49","67","53","False","1.0","-1.0","-1.0","-1.0","1.0","0.0","1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1143719","73249","73249","11437","19","40053804","Trontaledebatt","Forslag nr. 19 fra Marit Arnstad på vegne av Senterpartiet","['Sp']","Stortinget ber regjeringen innlede dialog med Den norske kirke, Arbeidsgiverorganisasjon for kirkelige virksomheter, KS, relevante frivillige kulturminneorganisasjoner og andre interessenter hvordan en forsterket strategi for vedlikehold av kulturhistorisk viktige kirker kan utformes.","2018-10-04T16:24:34.45","54","67","48","True","1.0","-1.0","-1.0","1.0","1.0","0.0","1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1143820","73249","73249","11438","20","40053805","Trontaledebatt","Forslag nr. 20 fra Marit Arnstad på vegne av Senterpartiet","['Sp']","Stortinget ber regjeringen legge fram forslag om endringer i bestemmelsene om dekningsplikt for arkeologiske undersøkelser ved utvidelser og nybygg av driftsbygninger på alminnelige gårdsbruk slik at hovedregelen blir at staten gjennom en tilskuddsordning dekker kostnadene ved slike undersøkelser.","2018-10-04T16:24:53.803","25","67","77","False","-1.0","-1.0","-1.0","1.0","1.0","0.0","1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1143921","73249","73249","11439","21","40053806","Trontaledebatt","Forslag nr. 21 fra Marit Arnstad på vegne av Senterpartiet","['Sp']","Stortinget ber regjeringen sette i gang prosjektet med innkjøp av nye stridsvogner til de mekaniserte manøveravdelingene i Hæren i løpet av 2018.","2018-10-04T16:25:10.65","18","67","84","False","-1.0","-1.0","-1.0","-1.0","-1.0","0.0","-1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","['Regjeringen', 'Kongen']","behandlet","Hans Majestet Kongens tale til det 163. storting ved dets åpning og melding om Noregs rikes tilstand og styring (trontaledebatt)","alminneligsak","",""
"1196815","74684","74684","11968","15","40054808","Erklæring fra regjeringen Solberg","Forslag nr. 15 fra Bjørnar Moxnes på vegne av Rødt","['R']","Stortinget ber regjeringen bruke engangsutbetaling av ekstraordinær bostøtte for å avhjelpe situasjonen for de som rammes hardest av den kraftige økningen i strømprisene denne vinteren, og komme tilbake til Stortinget med forslag om nødvendig tilleggsbevilgning.","2019-01-31T00:13:48.423","44","71","54","False","1.0","-1.0","-1.0","-1.0","0.0","0.0","1.0","1.0","1.0","-1.0","","2018-2019","redegjorelse","None","behandlet","Erklæring fra regjeringen Solberg","alminneligsak","",""
