,id,Mistral-instruct_left_vote,Mistral-instruct_left_for_prob,Mistral-instruct_left_against_prob,Mistral-instruct_right_vote,Mistral-instruct_right_for_prob,Mistral-instruct_right_against_prob,Mistral-instruct_center_vote,Mistral-instruct_center_for_prob,Mistral-instruct_center_against_prob
0,1143124,for,0.966909316,0,for,0.921277892,0.012012523,for,0.914531365,0.011786083
1,1143313,for,0.591200616,0.281462163,against,0.500163924,0.380468465,against,0.417620365,0.39862334
2,1143416,for,0.764393229,0.194997013,for,0.904261444,0.070620656,for,0.853742417,0.109385431
3,1143517,for,0.974386808,0.005139389,for,0.974304741,0.008162109,for,0.970609361,0.006286544
4,1143522,for,0.860839315,0.036478877,for,0.800551854,0.056519471,for,0.833497286,0.045712605
5,1143618,for,0.975303765,0,for,0.982543189,0,for,0.959204324,0
6,1143719,for,0.93677368,0.022934934,for,0.916041015,0.036210179,for,0.920604438,0.029013883
7,1143820,for,0.522960082,0.204131901,against,0.446263514,0.341145135,against,0.458640382,0.305710629
8,1143921,against,0.066603377,0.745643064,for,0.790766738,0.085955381,for,0.639433578,0.143945947
9,114465,for,0.949796185,0.011409088,for,0.957087755,0.009415592,for,0.953162082,0.010217
10,114474,against,0.351092309,0.287909091,against,0.408151753,0.321241908,for,0.415579282,0.206621632
11,114481,for,0.919929676,0.025838824,for,0.859870404,0.059293568,for,0.905155741,0.029868046
12,114482,for,0.886585385,0.053350393,for,0.803609803,0.104399562,for,0.826550968,0.089657485
13,114483,against,0.200894691,0.326503068,for,0.420665041,0.208325744,for,0.216936722,0.306684017
14,114613,for,0.89717406,0,for,0.871605538,0,for,0.895782389,0
15,114622,for,0.908389982,0.029469568,for,0.6375186,0.099696927,for,0.779028237,0.060448121
16,114631,against,0,0.99044735,against,0,0.989583388,against,0,0.977862559
17,114640,for,0.984792171,0,for,0.983964222,0,for,0.980642876,0
18,114722,again,0.184274539,0.491749689,again,0.128430218,0.599782974,again,0.067124531,0.74772127
19,114733,against,0.112287663,0.366722345,against,0,0.507926561,again,0,0.549308844
20,114741,for,0.902079277,0,for,0.897754036,0,for,0.932898197,0.014163462
21,114750,for,0.973404704,0,for,0.976176053,0,for,0.979119586,0
22,114805,for,0.858378597,0.058594834,for,0.735704005,0.120037071,for,0.77732522,0.118080497
23,114806,for,0.94139342,0.008865532,for,0.883790754,0.021398535,for,0.900909275,0.020439541
24,114807,for,0.893508635,0.070181876,for,0.70357126,0.236451313,for,0.796237849,0.136581823
25,114808,for,0.914660588,0.009572018,for,0.848912634,0.031190746,for,0.851302676,0.036588054
26,114812,for,0.692530178,0.143802181,for,0.532517824,0.276690487,for,0.586784285,0.220632598
27,114813,against,0,0.804016076,against,0,0.79062698,against,0.073148049,0.622893743
28,114814,for,0.814400554,0,for,0.615989551,0,for,0.726388007,0
29,114821,for,0.770403229,0.098045997,for,0.658189423,0.145538762,for,0.6487865,0.149062902
30,114848,for,0.694973629,0.146829903,for,0.617968038,0.164216653,for,0.60977377,0.19447653
31,114849,blank,0,0.205912303,blank,0,0.191265505,blank,0,0.142881613
32,114854,against,0.557625957,0.349720746,for,0.639477722,0.276489496,for,0.610664938,0.269364595
33,114863,for,0.817413032,0,for,0.818061166,0,for,0.813282847,0
34,114865,blank,0.364427522,0,blank,0.093884312,0.073117174,basedon,0.08201728,0.09366668
35,114866,for,0.801066048,0.084478796,for,0.632497959,0.170628697,for,0.714536533,0.139549315
36,114867,for,0.297212094,0.100922264,for,0.346352316,0.090340316,for,0.321788132,0.070687473
37,114872,blank,0,0.251541503,blank,0,0.223418299,blank,0,0.284749478
38,114881,for,0.714790724,0.089249216,for,0.559539273,0.129714027,for,0.625600159,0.121819288
39,1148910,for,0.546445806,0.238025904,for,0.499914609,0.337990075,for,0.605257068,0.219408721
40,114900,blank,0.097590566,0.128280386,blank,0.193665266,0.115213215,basedon,0.221009083,0.141417682
41,114914,for,0.840875749,0,for,0.846507732,0,for,0.895999908,0
42,114921,for,0.973645614,0,for,0.951440372,0.009310556,for,0.953911576,0.006804277
43,114922,for,0.73947151,0,for,0.695980191,0,for,0.680870362,0
44,114933,for,0.949943542,0.005953996,for,0.928790674,0.011392989,for,0.931461856,0.010608937
45,114970,againstif,0.433779441,0.454813033,for,0.612918392,0.297416329,for,0.680680253,0.228492305
46,114983,for,0.301278733,0.134221956,blank,0.244114026,0.156012818,against,0.20638876,0.19171986
47,114994,for,0.983686321,0,for,0.945284642,0.015270161,for,0.95867585,0.012067587
48,115001,for,0.621213973,0.103937738,against,0.165851243,0.476978436,against,0.166205585,0.465319976
49,115002,for,0.77045805,0.09518075,for,0.715302553,0.124423414,for,0.772934563,0.100186303
50,115015,for,0.903461225,0.026377745,for,0.864053622,0.049174096,for,0.876665793,0.046714097
51,115020,for,0.898060896,0.019973731,for,0.921656445,0,for,0.906961102,0.016883193
52,115030,blank,0,0.089641495,blank,0,0.143083878,blank,0,0.219638135
53,115031,for,0.846940592,0.050288286,for,0.723494131,0.082927205,for,0.696074255,0.093692034
54,115032,for,0.958113752,0.010388763,for,0.965481214,0.007784762,for,0.963697121,0.005796505
55,115033,for,0.881899014,0.034201726,for,0.831897531,0.059449151,for,0.872049518,0.042291
56,115034,against,0.15727824,0.341530293,against,0.36100997,0.302745938,against,0.226323493,0.402908385
57,115035,for,0.636383817,0,blank,0.432429425,0.133193001,for,0.516787432,0.112896144
58,1150513,against,0.359249122,0.338537216,against,0.058911413,0.697109081,against,0.144371539,0.524556756
59,1150514,for,0.567767903,0.177675113,for,0.519830417,0.220176309,for,0.571110986,0.207464129
60,1150612,for,0.600429296,0.15413706,for,0.445124432,0.276395619,for,0.488085106,0.218482211
61,1150710,against,0,0.846346006,against,0,0.70881784,again,0,0.769805796
62,115087,for,0.956565522,0,for,0.949208794,0,for,0.962891765,0
63,115091,for,0.644779105,0.241987348,for,0.783959813,0.130568609,for,0.791360512,0.112598002
64,115092,for,0.762300216,0.138859719,for,0.817524064,0.099272899,for,0.776516214,0.123205833
65,115093,for,0.958267167,0.016751485,for,0.943719242,0.027085925,for,0.935214598,0.029102033
66,115094,against,0.178217884,0.311759055,blank,0.155149683,0.279051095,blank,0.054927148,0.397191178
67,115095,for,0.704592969,0.188086614,for,0.848811205,0.08785262,for,0.755620241,0.120376118
68,115096,for,0.877210364,0,for,0.75544665,0,for,0.830080844,0
69,115098,for,0.97816273,0,for,0.964301325,0,for,0.972772285,0
70,115099,for,0.975855008,0,for,0.974183504,0,for,0.975948018,0
71,1151015,against,0,0.980968975,against,0,0.977748252,against,0,0.980405577
72,1151111,against,0.152516782,0.384266108,against,0.064231969,0.481100783,against,0.097223416,0.438360646
73,115120,against,0.380035907,0.33091113,against,0.376923755,0.334043313,for,0.458264343,0.25184539
74,115130,against,0,0.953839047,against,0.019691261,0.915002074,against,0.037552066,0.875993039
75,115140,against,0.231281295,0.526410535,for,0.551875353,0.297234792,against,0.218536317,0.563523307
76,115184,for,0.902175881,0.034110345,for,0.545418955,0.298144426,for,0.68209134,0.151099324
77,115195,for,0.792154245,0.063603163,for,0.59886945,0.158694893,for,0.652046174,0.105506845
78,115203,for,0.328665838,0.158012703,for,0.305111498,0.189173535,for,0.294861019,0.22228124
79,115216,for,0.805115484,0.044739518,for,0.771005996,0.052205645,for,0.791908637,0.050104596
80,115217,for,0.330077782,0.090233326,for,0.402520269,0.097537197,for,0.390914727,0.091993898
81,115221,for,0.825703129,0.067246914,for,0.810244739,0.066665016,for,0.851317927,0.054348733
82,115232,against,0.375039421,0.358139448,against,0.266938284,0.508468568,against,0.291369408,0.454307422
83,115240,for,0.945082314,0.012858704,for,0.919322334,0.020026634,for,0.932944257,0.014485458
84,115430,against,0.319911249,0.548889816,against,0.199983586,0.709507652,against,0.22687665,0.645704046
85,115392,for,0.884513631,0.058793839,for,0.759354893,0.138684645,for,0.746430352,0.147856757
86,115400,for,0.799376111,0.115049288,for,0.734468317,0.15841338,for,0.718327437,0.177779242
87,115420,for,0.779936567,0.071692266,for,0.62079668,0.113566339,for,0.75095243,0.093715675
88,115446,for,0.971011471,0,for,0.93856699,0,for,0.93886127,0
89,115455,against,0.063658215,0.478761919,against,0,0.839284711,against,0,0.706618853
90,115464,for,0.599404715,0,for,0.471804567,0.062948018,for,0.59863428,0
91,115473,for,0.571549743,0.061857231,for,0.847244665,0.039130721,for,0.892306931,0.019083327
92,115482,for,0.724225994,0.118829601,for,0.509263746,0.241825148,against,0.465632245,0.294552162
93,115491,for,0.819170684,0.06892658,for,0.844993204,0.049435746,for,0.897312958,0.027049709
94,115520,for,0.823417716,0.087836556,for,0.787345439,0.111099929,for,0.683330841,0.209573552
95,115532,for,0.963457875,0.013525387,for,0.959354311,0.016149757,for,0.958999686,0.015163867
96,115550,for,0.775392294,0.099404126,for,0.665790807,0.174561977,for,0.749166913,0.115614511
97,1156824,for,0.657812655,0.083317898,for,0.497181453,0.204142988,for,0.635891378,0.085647851
98,1156914,against,0.588934518,0.244690478,against,0.400655799,0.433627784,against,0.188738465,0.53959965
99,1156918,blank,0.104994081,0.300728835,for,0.38105068,0.128550738,blank,0.146513835,0.203659974
100,1156919,against,0.382803865,0.33735241,for,0.67440632,0.10870938,for,0.338393182,0.2640815
101,1156922,for,0.680331327,0,for,0.639239676,0,for,0.709658302,0
102,1157020,for,0.598066725,0,blank,0.342448473,0.14418672,blank,0.294171438,0.078599885
103,1157021,for,0.697973389,0.214690238,against,0.232198238,0.682676084,against,0.542950526,0.305209637
104,1157115,against,0.230078153,0.210144624,against,0.188972764,0.365373351,against,0.223641679,0.298486099
105,1157216,for,0.968363252,0,for,0.963411856,0,for,0.968939364,0
106,1157217,for,0.714965809,0,blank,0.315220639,0.131691009,for,0.436541528,0.079662725
107,1157427,against,0.333280619,0.43747092,against,0.103997655,0.683289401,against,0.223751776,0.503781438
