,id,Llama3-instruct_A_vote,Llama3-instruct_A_for_prob,Llama3-instruct_A_against_prob,Llama3-instruct_H_vote,Llama3-instruct_H_for_prob,Llama3-instruct_H_against_prob,Llama3-instruct_Sp_vote,Llama3-instruct_Sp_for_prob,Llama3-instruct_Sp_against_prob,Llama3-instruct_FrP_vote,Llama3-instruct_FrP_for_prob,Llama3-instruct_FrP_against_prob,Llama3-instruct_KrF_vote,Llama3-instruct_KrF_for_prob,Llama3-instruct_KrF_against_prob,Llama3-instruct_MDG_vote,Llama3-instruct_MDG_for_prob,Llama3-instruct_MDG_against_prob,Llama3-instruct_SV_vote,Llama3-instruct_SV_for_prob,Llama3-instruct_SV_against_prob,Llama3-instruct_V_vote,Llama3-instruct_V_for_prob,Llama3-instruct_V_against_prob,Llama3-instruct_R_vote,Llama3-instruct_R_for_prob,Llama3-instruct_R_against_prob
0,1143124,for,0.704820042476058,0.2720437925308943,mot,0.4957195408642292,0.4687377493828535,mot,0.5633473992347717,0.40779790095984936,mot,0.2810682877898216,0.6734233237802982,mot,0.5411536861211061,0.42245139367878437,for,0.735931746661663,0.23917804472148418,for,0.7648779079318047,0.21191051416099072,for,0.7168871983885765,0.26050339080393314,for,0.7021407093852758,0.27838797960430384
1,1143313,for,0.7877109292894602,0.1967618614435196,for,0.7171184960752726,0.2624173201620579,for,0.7749517681077123,0.20931993331760168,for,0.6789427231997252,0.296518811956048,for,0.7960978327319026,0.18533679842948914,for,0.8032103604637086,0.1743056420236826,for,0.8147738911211491,0.16354769375175238,for,0.8097443543374538,0.17364875506609678,for,0.7669509826228023,0.21394882164895535
2,1143416,mot,0.5987935373559594,0.37676603347063065,mot,0.48786760680377483,0.4837506478652358,for,0.6639446448534727,0.3147913310676813,mot,0.40493359323590994,0.5632588509470224,for,0.621938543394208,0.3517340440303087,for,0.6815859712660313,0.2894752211868763,for,0.668757876381278,0.3026457317173481,for,0.7064223941415548,0.27082337625324726,for,0.630301003344357,0.3457183465361595
3,1143517,for,0.8787364326417446,0.10942769050598145,for,0.7204362042248249,0.2625901121646166,for,0.8913989020511508,0.09757401468232274,for,0.7823604019358754,0.20525276847183704,for,0.8977362303994596,0.08947854768484831,for,0.9145296565257013,0.07324349228292704,for,0.8693756759166718,0.11754059884697199,for,0.9180527944117785,0.07390359696000814,for,0.8286528456956148,0.16112582385540009
4,1143522,mot,0.5830169469118118,0.38831607438623905,mot,0.5359632708132267,0.4352404810488224,for,0.6476461198180914,0.3309479672461748,mot,0.43781618028879166,0.5210000146180391,mot,0.5992805566638708,0.3712401520460844,for,0.7220824304968119,0.25760106556117535,for,0.685033529996872,0.28865982964634895,for,0.7025110051035881,0.2753466907888651,for,0.6598392631858587,0.32171753235161304
5,1143618,for,0.8828091826289892,0.09951443457975984,for,0.6731678284704685,0.2986414786428213,for,0.8435217887163162,0.140548893250525,for,0.7482702694833279,0.2228800356388092,for,0.8455974878743291,0.12886132393032312,for,0.9448185218498111,0.03321053460240364,for,0.9087163601070642,0.06954226363450289,for,0.8554521333426237,0.12848320184275508,for,0.8992524472996593,0.08862115116789937
6,1143719,for,0.8356837751343846,0.14437113143503666,for,0.8299089595675468,0.151578220538795,for,0.856904445681721,0.12532749399542809,for,0.7712718127295375,0.2065375130623579,for,0.8757317159324884,0.1029326505959034,for,0.8794092568568885,0.1017209142446518,for,0.8791810823604465,0.10218092333525419,for,0.8816929832100868,0.10161509551107883,for,0.8518558889627457,0.13128439337015152
7,1143820,mot,0.3854361027479172,0.5639250576496124,mot,0.2117837741971016,0.7329866960644722,mot,0.493826980702579,0.4696851223707199,mot,0.1662120446562767,0.7858589105308056,mot,0.3131883889436722,0.632494012825191,mot,0.4775110250338912,0.48072079196572304,mot,0.5095907058566809,0.45256493613123894,mot,0.5773948989808559,0.3864255752414465,mot,0.4723798967897892,0.48204729333519936
8,1143921,mot,0.0,0.958016665186733,mot,0.049279309809207916,0.909333785995841,mot,0.005616188980638981,0.9544849451631308,mot,0.12585869058966637,0.829088332131505,mot,0.0,0.9564510048367083,mot,0.0,0.9574072672985494,mot,0.0,0.9451915137469769,mot,0.03575994074344635,0.8701678458601236,mot,0.004700740799307823,0.8998480634763837
9,114465,for,0.66982542257756,0.3058245861902833,mot,0.5397480167448521,0.42351819574832916,for,0.6461305506527424,0.32797677908092737,mot,0.5864255828782916,0.38456996344029903,for,0.7067365488037467,0.2664371570572257,for,0.7249327301979065,0.23945294972509146,for,0.7253150828182697,0.2453620033338666,for,0.6495057009160519,0.3201557658612728,for,0.6648590313270688,0.3094874667003751
