,id,gpt-4o-mini_translate
0,1143124,"The Parliament requests the government to present a case for raising the wage levels in female-dominated professions in the public sector, and to consider a gender equality wage fund for these, which would be in addition to regular collective bargaining agreements and distributed after negotiations between the parties."
1,1143313,The Parliament requests the government to investigate the consequences of the hospitals not receiving the 75 million that the government itself states it cost when the hospitals took on the responsibility for handling cases of abuse. The results of the investigation are to be presented to the Parliament no later than together with the proposal for the state budget for 2020.
2,1143416,"The Parliament requests the government to base its actions on the principle that good and voluntary processes should be the starting point for changes to the county structure. Mergers of counties should be based on voluntariness. In cases where counties themselves do not wish to merge, the mergers will not be carried out."
3,1143517,"The Storting requests the government to present a report on taxes that analyzes the effects on, among other things, distribution, employment, value creation, and jobs across the country, and that the report should lay the foundation for a better and more predictable tax policy."
4,1143522,The Parliament requests the government to establish a grant scheme that covers the costs associated with the disposal of waste following voluntary cleanup actions. The new scheme must be viewed in conjunction with the scheme that has already been implemented for measures against marine littering and the spread of microplastics.
5,1143618,The Parliament requests the government to present a white paper on a stronger focus on bioenergy.
6,1143719,"The Parliament requests the government to initiate a dialogue with the Church of Norway, the Employers' Organization for Church Activities, KS, relevant voluntary cultural heritage organizations, and other stakeholders on how a strengthened strategy for the maintenance of culturally and historically significant churches can be developed."
7,1143820,"The Parliament requests the government to present proposals for changes to the provisions regarding the obligation to cover costs for archaeological investigations in connection with expansions and new constructions of operational buildings on ordinary farms, so that the main rule becomes that the state, through a grant scheme, covers the costs of such investigations."
8,1143921,The Parliament requests the government to initiate the project for the procurement of new tanks for the mechanized maneuver units in the Army during 2018.
9,114465,"The Parliament requests the government to ensure that all imported feed, including from EU countries, is inspected and approved by the Food Safety Authority before further distribution."
10,114474,"The Parliament requests the government to investigate whether it is possible to use actual yields as a basis for calculating crop damage compensation in forage production, in order to ensure that producers with yields higher than the normal yield in the municipality receive adequate compensation in the event of loss."
11,114481,"The Parliament requests the government, ahead of the agricultural settlement in 2019, to review the system for crop damage compensation in order to prevent the agricultural sector from being undermined due to economic losses in the face of greater climate changes in the years to come."
12,114482,"The Parliament requests the government to establish a working group with representation from agricultural unions that can develop a model for a climate fund for agriculture, and to return to the Parliament as soon as possible with such a proposal."
13,114483,The Parliament requests the government to implement an extraordinary monitoring program to detect any disease outbreaks as early as possible due to the extraordinary import of feed.
14,114613,The Parliament requests the government to propose a change in the law that grants children in grades 1-4 and grades 1-7 for children with special needs a legal right to a place in the after-school program.
15,114622,The Parliament requests the government to investigate the introduction of free core hours in the after-school program for low-income families.
16,114631,"The Parliament requests the government to clarify to the municipalities that defaulted parental payments can only be sanctioned through ordinary forms of debt collection, and not by depriving a child of a place in the after-school program."
17,114640,"The Parliament requests the government, as part of the work on the announced white paper regarding early intervention and inclusive communities in kindergartens and schools, to consider relevant measures to prevent students from being excluded from after-school care due to their parents' financial situation."
18,114722,"The Parliament requests the government to implement further regulations on tanning beds to limit the occurrence of melanoma, including investigating a ban on advertising."
19,114733,"The Parliament requests the government to reconsider the regulatory and enforcement regime for tanning salons in order to limit the occurrence of melanoma, including exploring a ban on advertising."
20,114741,The Parliament requests the government to ensure sufficient capacity in the pathology field to be prepared for the anticipated increase in both melanoma and other cancers in the coming years.
21,114750,"The Parliament requests the government to facilitate a more comprehensive and structured effort on information, prevention, and early detection of skin cancer."
22,114805,"The Parliament requests the government to ensure that the website hvakostertannlegen.no becomes a real tool for customers by having all dentists register their prices there in a way that makes them comparable. The government is also asked to consider measures against dentists who choose not to use this site, while simultaneously operating a practice where they receive reimbursement for dental treatments from the public sector."
23,114806,"The Parliament requests the government to consider the need for an extension of the rights under the National Insurance Act for individuals with certain cancer diagnoses that affect oral health, as well as cancer survivors with aftereffects that impact dental health."
24,114807,The Parliament requests the government to promote measures to reduce antibiotic resistance in the Norwegian dental health service and measures to prevent an increase in dental treatment in countries with a high risk of spreading resistant bacteria.
25,114808,"The Parliament requests the government to evaluate the dental health competence centers, with the premise that the competence centers should contribute to a decentralization and further development of regional expertise in dental health."
26,114812,"The Parliament requests the government to ensure that the Prioritization Committee for municipal health and care services and dental health also provides proposals for which reimbursement schemes should be prioritized, and the structure of these, if the reimbursement schemes are to be expanded with the aim of reaching more vulnerable groups."
27,114813,"The Parliament requests the government to investigate a price cap for dental treatments that are partially or fully reimbursed by the public sector, where the reimbursement rates must be perceived as predictable for both patients and dental health personnel."
28,114814,"The Parliament requests the government to investigate and return to the Parliament with a proposal for an expansion of the public dental health service, where more groups are included in the public dental health service."
29,114821,"The Parliament requests the government to return to the Parliament with a separate proposal on strengthening Norwegian dental health, with the aim of reducing social inequality in dental health by helping those who need it the most. The Parliament requests that the proposal includes: a. suggestions on how to strengthen preventive work for good public dental health b. a review of the reimbursement schemes in the dental health field c. proposals that will better assist those who currently do not have the financial means to undergo necessary dental treatment d. proposals for improvement and simplification of the reimbursement schemes through the National Insurance for specific diagnoses."
30,114848,"The Parliament requests the government to return to the Parliament with the proposals necessary to ensure that experiential competence and employees' salary and working conditions are secured when outsourcing all ambulance services, either through requirements for business transfer or equivalent obligations."
31,114849,The Parliament requests the government to investigate public/non-profit operation of all ambulance services and report back to the Parliament in an appropriate manner.
32,114854,The Parliament requests the government to ensure that the health enterprises do not centralize or close down ambulance services.
33,114863,The Parliament requests the government to present an action plan for better ambulance services in Norway.
34,114865,"The Parliament requests the government to ensure a maritime and medically sound ambulance boat tender in Lopphavet, which also includes requirements for the transfer of operations."
35,114866,"The Parliament requests the government to ensure that requirements for common emergency medical plans for municipalities and health enterprises, as well as regular training with other emergency services, are established in a future revised emergency medical regulation."
36,114867,"The Parliament requests the government to evaluate the function, development, and financing of the emergency assistance scheme."
37,114872,"The Parliament requests the government to establish regulations regarding response times and to base the national response times of 8, 12, and 25 minutes on the proposals from the Emergency Committee."
38,114881,"The Parliament requests the government to ensure a maritime and medically sound ambulance boat tender in Lopphavet, where current experience and expertise are maintained, either through negotiations with providers, through a possible new tender round with requirements for business transfer in accordance with the provisions of the Working Environment Act, or in another suitable manner."
39,1148910,"The Parliament requests the government to ensure that the investigation into public/non-profit operation of the air ambulance service, cf. resolution 861 (Innst. 362 S (2017-2018)), adopted by a unanimous parliament, is completed no later than the end of the current parliamentary term, so that the Parliament can consider this before any new tender process is initiated or the current contract is extended."
40,114900,The Parliament requests the government to present a white paper on pre-hospital services and the entire emergency medical chain based on NOU 2015:17 First and Foremost.
41,114914,The Parliament requests the government to ensure that the 16 bed spaces in the rehabilitation department 2 East in Eigersund are maintained.
42,114921,"The Parliament requests the government to strengthen the rehabilitation services for patients with COPD in both municipalities and health enterprises, and to ensure that health enterprises do not reduce their services until a corresponding offer has been established in the municipalities."
43,114922,The Parliament requests the government to address the geographical and regional disparities in patients' access to specialized rehabilitation.
44,114933,The Parliament requests the government to ensure that the municipalities in the region have the opportunity to build the necessary competence and capacity to take over the responsibility for the relevant patient group if the decision to close the rehabilitation department 2 East in Eigersund is upheld.
45,114970,"The Parliament requests the government to ensure that the water management plans continue to be regional plans under the Planning and Building Act, and that the planning processes shall follow the provisions of the Planning and Building Act."
46,114983,The Parliament requests the government to establish regulations for the requirements for occupational therapy and physiotherapy competence in nursing homes.
47,114994,"The Parliament requests the government to initiate a survey of the human rights situation in Norwegian nursing homes and home care services as soon as possible, where residents and users themselves, as well as their relatives, are included as sources. The government is asked to report to the Parliament in an appropriate manner."
48,115001,"The Parliament requests the government to investigate a change in the Housing Bank's grant scheme for round-the-clock care places in nursing homes and care homes, so that the grant schemes can also include sheltered housing without round-the-clock care."
49,115002,"The Parliament requests the government to take the initiative with the parties in the labor market to establish a collaboration for the creation of a pool of substitute workers with permanent employees in the municipalities, possibly as a collaboration between neighboring municipalities."
50,115015,"The Parliament requests the government to ensure that the planned grant scheme for the renovation, establishment, or re-establishment of local kitchens in nursing homes is investigated and presented during the first half of 2019, and that funds for the scheme are allocated in the proposal for the revised national budget."
51,115020,The Parliament requests the government to investigate a separate grant scheme for positions that can ensure increased interdisciplinary competence and more volunteer work in Norwegian nursing homes and home care services.
52,115030,"The Parliament requests the government to propose that ""loneliness"" be included in the Public Health Act § 7."
53,115031,The Parliament requests the government to encourage the establishment of low-threshold mental health services for the elderly in several municipalities.
54,115032,The Parliament requests the government to facilitate for municipalities and voluntary organizations to strengthen their work and initiatives so that the elderly and those living alone can have someone to share meals with.
55,115033,"The Parliament requests the government to present a comprehensive national strategy for good diet and healthy nutrition for the elderly receiving services in nursing homes and home care, with proposals for specific, targeted measures."
56,115034,The Parliament requests the government to consider specific measures to strengthen the nutritional expertise and the systematic nutritional work in the health and care services and to report back to the Parliament in an appropriate manner.
57,115035,The Parliament requests the government in 2019 to present its own case to the Parliament regarding palliative care and the follow-up of NOU 2017:16 On Life and Death – Palliative Care for the Seriously Ill and Dying.
58,1150513,The Parliament requests the government to propose amendments to the Alcohol Act in order to reduce the maximum serving time from 3:00 AM to 2:00 AM.
59,1150514,The Parliament requests the government to propose an amendment to the law that ensures that municipal sales and serving fees are set to a minimum of one percent of alcohol sales.
60,1150612,"The Parliament requests the government to investigate whether there are groups that need an expanded information program related to the harmful effects of alcohol and other substances during pregnancy, and whether the national professional guidelines for maternity care are being adequately followed or need reinforcement."
61,1150710,The Parliament requests the government to return to the Parliament with proposals for measures that limit consumption-driven product information about alcohol.
62,115087,"The Parliament requests the government to ensure that all pregnant women receive good information about the harm that alcohol consumption during pregnancy can cause to the child, including ensuring that absolutely all pregnant women are informed about this during prenatal check-ups."
63,115091,"The Parliament requests the government to establish a public committee to assess the significant societal costs of alcohol for society, the workforce, and individuals and their families."
64,115092,The Parliament requests the government to initiate a collaboration with sports organizations to strengthen efforts to make sports an alcohol-free zone.
65,115093,"The Parliament requests the government to invite the parties in the labor market to strengthen cooperation to increase awareness of attitudes towards alcohol in the workplace, to promote the value of alcohol-free environments, and to emphasize the need for choice and reduced alcohol pressure in work contexts."
66,115094,The Parliament requests the government to submit a proposal to the Parliament to introduce requirements for labeling of alcoholic beverages.
67,115095,"The Parliament requests the government to implement stronger measures against the smuggling of alcohol into Norway through better control mechanisms, including sufficient operational resources for control work."
68,115096,The Parliament requests the government to facilitate treatment options for entire families with alcohol problems to an even greater extent.
69,115098,"The Parliament requests the government to ensure that pregnant women with substance abuse issues receive closer follow-up, and to ensure that there are enough places to meet the need for treatment and support for the women and their children."
70,115099,The Parliament requests the government to introduce a labeling system for alcoholic beverages with health warnings about alcohol consumption during pregnancy and in connection with driving.
71,1151015,"The Parliament requests the government to reverse the expansion that was made to the duty-free scheme in 2014 from January 1, 2020."
72,1151111,The Parliament requests the government to consider reversing the latest change to the tax-free quota based on an evaluation of how the quota affects Vinmonopolet's sales and its position as one of the most important alcohol policy instruments.
73,115120,"The Parliament requests the government to present a national alcohol strategy to the Parliament, outlining how the alcohol policy goals of reducing alcohol consumption will be achieved."
74,115130,"The Parliament requests the government – pending the evaluation by the Norwegian Institute of Public Health of the standardized rules for the revocation of liquor licenses – not to make changes to the point system, but to ensure that the evaluation is expedited, if possible."
75,115140,"The Parliament requests the government to base the provision in the alcohol regulations regarding the revocation of licenses for violations of the alcohol law on a maximum of eight points before revocation, not twelve."
76,115184,The Parliament requests the government to present a plan for the escalation of public and non-profit ownership and operation to ensure that kindergartens are run by public or non-profit actors.
77,115195,"The Parliament requests the government to introduce, or propose necessary measures to introduce, a requirement that when a kindergarten is sold, the new owner must apply for funding again."
78,115203,The Parliament requests the government to introduce a reporting obligation and pre-emption right for the municipality in the sale of kindergartens and to propose any necessary legislative changes to implement such rights and obligations.
79,115216,"The Parliament requests the government to present the proposals necessary to adjust the size of the pension subsidy for private kindergartens, so that it corresponds to the actual pension costs incurred by the kindergartens."
80,115217,The Parliament requests the government to amend the regulations so that the entire pension subsidy received by private kindergartens is used in accordance with its purpose and benefits the employees in the kindergarten.
81,115221,The Parliament requests the government to ensure that municipalities have the right to impose the same requirements on private and public kindergartens.
82,115232,"The Parliament requests the government to present a case regarding the introduction of a reporting obligation and pre-emption rights for municipalities in the sale of kindergartens, including an assessment in relation to the provisions of the EEA Agreement, and to propose any necessary legislative changes."
83,115240,The Parliament requests the government to review the financing system for private and municipal kindergartens with the aim of safeguarding small and non-profit kindergartens and ensuring a diverse kindergarten sector.
84,115430,"The Parliament requests the government to introduce a complaint option for decisions regarding compensation for psychological stress injuries resulting from participation in international operations after January 1, 2010, cf. the Defense Act § 55. Those who have served after January 1, 2010, will be given the same complaint option as those who served before January 1, 2010, cf. the regulation on the complaints board for claims for compensation and ex gratia payments for psychological stress injuries resulting from participation in international operations, and the complaints will be handled by a special board appointed by the Ministry of Defense. The government is requested to propose to the Parliament the necessary legal and regulatory amendments so that such a complaint system can be implemented as soon as possible."
85,115392,"The Parliament requests the government to present proposals for the necessary amendments to laws and regulations to introduce a complaint option for decisions regarding compensation for psychological stress injuries resulting from service in international operations after January 1, 2010."
86,115400,The Parliament requests the government to establish a complaint system for veterans who have participated in international operations since 2010 and have incurred psychological injuries in these operations. Veteran organizations will be involved in the development of the structure of the complaint system. The establishment of such a complaint system is expected to be included in the mandate of the externally led working group appointed by the Ministry of Defence.
87,115420,"The Storting asks the government to establish a defense commission to invite a broad public debate on changes in the security policy landscape, Norway's role, and defense policy changes as a consequence of this."
88,115446,"The Parliament requests the government to initiate a renegotiation of the Urban Environment Package for North-Jæren, with the aim of increasing investment in public transport, cycling, and walking, including ensuring that the planned bus route is made convertible to a light rail system."
89,115455,"The Parliament requests the government to investigate alternative financing arrangements in the event of cost increases for national roads and bicycle highways in urban packages, also in cases where not all costs are covered by tolls."
90,115464,"The Parliament requests the government to ensure that the state covers 70% of the investment costs for the ""Bus Road"" in the Urban Environment Package for North Jæren."
91,115473,The Parliament requests the government to clarify which other processes related to the Urban Environment Package for Nord-Jæren may require consideration by the Parliament.
92,115482,"The Parliament requests the government to initiate renegotiations of the Urban Environment Package for North-Jæren and asks that the renegotiations be completed by the end of 2018/2019. The renegotiations should explore a new model for the structure of the rush hour toll that will be less burdensome for the population. The consequences of the rush hour toll for residents and businesses must be studied more thoroughly, and appropriate mitigating measures must be established."
93,115491,The Parliament requests the government to take the initiative for testing new technology/road pricing in Nord-Jæren.
94,115520,"The Parliament requests the government, in its work on a comprehensive hydrogen strategy, to include a pilot project for the use of fuel cell trains powered by emission-free hydrogen on at least one of the non-electrified railway lines in Norway – with the aim of operating on one of the lines by January 1, 2020."
95,115532,"The Parliament requests the government to consider starting a trial with hydrogen trains on a smaller scale, in order to test whether the technology can be scaled up and used on the long routes that currently rely on diesel propulsion."
96,115550,"The Storting asks the government to immediately ensure that new, emission-free, and autonomous ferries are included as a standalone option when planning the Ferry-Free E39, on par with tunnels and bridges. Relevant factors for choosing a solution for the future E39 should include environmental considerations, cost, capacity, flexibility, and socio-economic benefits."
97,1156824,"The Parliament requests the government to ensure that municipalities exclude child benefits from the calculation of social assistance, and to allocate funds for compensation for this in the revised national budget for 2019."
98,1156914,The Parliament requests the government to propose an increase in the shipbuilding loan guarantee scheme for ships from shipyards in Norway by 2 billion kroner. It is assumed that the loan guarantees will only be used for the construction of ships with zero or low-emission technology.
99,1156918,The Parliament requests the government to develop a model for a tax on salmon lice in the aquaculture industry that provides an estimated revenue effect of 900 million kroner.
100,1156919,"The Parliament requests the government to increase the maximum deduction in the tax incentive scheme for startup companies to 650,000 kroner per year."
101,1156922,The Parliament requests the government to establish a national support scheme for the purchase of electric bicycles.
102,1157020,The Parliament requests the government to incorporate a goal for full electrification of today's fish farms into Enova's mandate by 2023.
103,1157021,The Parliament requests the government to present a plan for the gradual phasing out of current oil activities. The pace of the phase-out must be coordinated with the assumption of reaching the climate agreement in 2020 and achieving over a 40% reduction in total Norwegian emissions by 2030.
104,1157115,The Parliament requests the government to establish a guarantee fund for renewable investments based on the model of the existing developing country scheme in GIEK. A guarantee framework of 2 billion kroner is allocated in 2019.
105,1157216,The Parliament requests the government to ensure that the Financial Supervisory Authority conducts a stress test of climate risk in Norwegian financial institutions.
106,1157217,The Parliament requests the government to require all county municipalities to submit a climate budget for the budgets for 2020.
107,1157427,"The Parliament requests the government to promptly propose changes to the law necessary to ensure that child benefits are excluded when calculating social assistance, and, in connection with the revised budget for 2019, to propose covering these costs through distribution to all municipalities via the municipal scheme."
108,1157610,"The Parliament requests the government to adjust the negotiation mandate related to the negotiations on a CO2 fund for the freight transport sector to include a fund in line with the needs of the business community and based on the model of the NOx fund, so that the negotiations can be completed and the fund established and become operational during 2019 in accordance with the Parliament's previous decision."
109,1157711,The Parliament requests the government to ensure that the Parliament is presented with the funding needs related to the establishment and administration of a CO2 fund for the freight transport sector in connection with the revised national budget for 2019.
110,115796,The Parliament requests the government to investigate changes to the Value Added Tax Act that ensure healthcare professionals must include value added tax if they provide alternative treatment.
111,115797,"The Parliament requests the government to investigate whether any of the members of the organizations currently registered in the register for alternative practitioners can be considered to provide health care, and to return to the Parliament with a legislative proposal that allows these individuals to be exempt from the value-added tax law."
112,115803,"The Parliament requests the government to investigate a tax that effectively excludes biofuels with a high deforestation risk (such as palm oil), and to present a proposal in connection with the revised national budget in 2019, with implementation on July 1, 2019."
113,115818,The Parliament requests the government to abolish the system of neutral value-added tax in the health enterprises.
114,115822,The Parliament requests the government to evaluate the ABE reform and report back to the Parliament in an appropriate manner.
115,115824,"The Parliament requests the government to facilitate, during the first half of 2019, that marine waste can be easily and free of charge delivered at ports through the ""Fishing for Litter"" scheme."
116,115825,The Parliament requests the government to investigate whether the municipal pension funds should be subject to taxation and to present a case to the Parliament in an appropriate manner.
117,1158325,"The Storting asks the government that Norway's national budget, starting with the budget for 2020, should be prepared and presented with sector-specific emission budgets, including a list of measures and expected climate effects. The overview should show how Norwegian emission reductions to achieve at least a 40% reduction in the non-ETS sector by 2030 will be implemented in Norway."
118,115850,"The Parliament requests the government to consider the establishment of a professional broadcasting orchestra in connection with NRK, which, modeled after the Broadcasting Orchestra, should have institutional prerequisites to conduct stable artistic activities at a high level."
119,115860,"The Parliament requests the government, in connection with the state budget for 2020, to propose the removal of the tax exemption for goods shipments from abroad of lower value (the 350-kroner limit) from January 1, 2020. In the design of the regulations, one must take into account the EU's adopted scheme with a tax-free limit, which is to be implemented from 2021."
120,115870,"The Parliament requests the government to develop a comprehensive proposal for measures and taxes in the biofuel policy to exclude biofuels with a high deforestation risk, both within and outside the blending requirement. These framework conditions are to be presented in connection with the state budget for 2020 and implemented from January 1, 2020."
121,115940,The Storting requests the government to develop and implement a comprehensive plan to ensure oversight and coordinated follow-up from the individual ministries regarding the recommendations from international monitoring bodies to Norway on human rights.
122,115950,"The Parliament requests the government to develop a new overarching, cross-sectoral, as well as economically and time-bound action plan against violence in close relationships. The action plan must reflect the special needs of vulnerable groups."
123,115960,The Parliament requests the government to review the recommendations in the annual report for 2017 from Norway's national institution for human rights and to return to the Parliament in an appropriate manner regarding how the recommendations have been followed up.
124,115961,"The Parliament requests the government to ensure that the courts are organized and financed in a way that meets the requirements of citizens, as stipulated by the Constitution and the European Convention on Human Rights, to have their cases adjudicated by the courts within a reasonable time."
125,116033,"The Parliament requests the government to return to the Parliament with a comprehensive review of public compensation schemes, which particularly examines which groups are not covered by the schemes, and to consider how these should be included or encompassed by other arrangements."
126,116034,"The Parliament requests the government to ensure that there is equal access to compensation for failures of the public sector towards a person who was a child when the failure occurred, regardless of where the person lives in the country, and if necessary, to establish a national compensation scheme or a national framework for municipal schemes."
127,116035,"The Parliament requests the government to return to the Parliament with a proposal to coordinate the regulations for compensation with the rules for statute of limitations in the Penal Code, so that claims for compensation do not become time-barred before any potential prosecution."
128,116036,The Storting asks the government to ensure that the Storting's compensation scheme for justice is better known and better informed about as a compensation scheme.
129,116042,The Parliament requests the government to return to the Parliament with a review of the various municipal and county compensation and restitution schemes in order to gain an overview of potentially problematic discriminatory treatment.
130,116050,The Parliament requests the government to take the initiative with KS to develop a best practice recommendation for voluntary municipal and county compensation schemes.
131,116061,"The Parliament requests the government to return to the Parliament with a comprehensive review of public compensation schemes, which particularly examines which groups are not covered by the schemes and assesses whether these should be included."
132,116072,"The Parliament requests the government to facilitate access to affordable legal aid and first-line legal assistance locally, for example through the establishment of local legal centers that can also offer multiple legal services under one roof."
133,116073,"The Parliament requests the government to require the courts to actively determine, in each individual case, whether it has been ""reasonable to incur the costs"" when determining the legal costs."
134,116081,"The Parliament requests the government, in connection with the ongoing investigation of the legal aid scheme, to return to the Parliament with measures to follow up on this in order to improve the scheme, make it more efficient, and more targeted."
135,116090,"The Storting requests that the government present a proposal for a new legal aid model during 2019 that aligns with the assessments in Document 8:152 S (2017–2018), and that ensures better legal aid for more people by, among other things, expanding the scope of application, introducing graded co-payments, and raising the income threshold."
136,116091,The Parliament requests the government to propose various models for annual discussions or negotiations between the state and the Norwegian Bar Association regarding the determination of the public fee rate.
137,116092,"The Parliament requests the government to facilitate the strengthening of the mediation boards and conflict resolution boards professionally, and to enhance arrangements that contribute to increased use of mediation and conflict resolution outside of the courts."
138,116093,"The Parliament requests the government to implement concrete measures to reduce legal costs, so that the risk of high legal expenses for ordinary people is minimized, including facilitating a more judge-led process."
139,116094,"The Parliament requests the government to present a case to the Parliament regarding the increase of the limit for small claims procedures and to link the limit to the basic amount in the National Insurance Scheme, so that more cases can be processed as small claims."
140,116131,"The Storting requests the government to return to the Storting in an appropriate manner with a comprehensive presentation of how the instruments in Norwegian development and aid policy will be used to strengthen the partner countries' own capacity and ability to facilitate lasting, inclusive, sustainable growth and fair distribution."
141,116142,The Storting asks the government in its proposals for the upcoming aid budgets to ensure that the budget share for the least developed countries does not decrease and that efforts are increased to assist the countries facing the greatest development challenges in sub-Saharan Africa.
