,id,Mistral-instruct_vote,Mistral-instruct_for_prob,Mistral-instruct_against_prob
0,1143124,against,0.250627406,0.573046148
1,1143313,against,0.093966901,0.764666811
2,1143416,against,0.104388874,0.781892821
3,1143517,for,0.759718999,0.081561022
4,1143522,against,0.094517075,0.687157139
5,1143618,for,0.512118034,0.262367666
6,1143719,against,0.524678439,0.18178238
7,1143820,against,0,0.931338018
8,1143921,against,0.172733314,0.673691884
9,114465,for,0.332983851,0.459382094
10,114474,against,0,0.875847425
11,114481,for,0.452613272,0.307810225
12,114482,against,0.092657775,0.756498516
13,114483,against,0,0.918126926
14,114613,against,0.041939873,0.858976997
15,114622,against,0.207686581,0.537679434
16,114631,against,0,0.980782548
17,114640,for,0.442324951,0.320067309
18,114722,against,0,0.893977076
19,114733,against,0,0.86278899
20,114741,against,0.251528088,0.598494396
21,114750,for,0.783786051,0.053284314
22,114805,against,0.07030423,0.811749876
23,114806,against,0.151462199,0.699205421
24,114807,against,0.039440621,0.892279837
25,114808,against,0.105119474,0.692871541
26,114812,against,0.195348062,0.585812807
27,114813,against,0,0.929340549
28,114814,against,0.042747028,0.764166631
29,114821,against,0.035871934,0.834613249
30,114848,against,0.075852431,0.770930603
31,114849,blank,0,0.42594815
32,114854,against,0.033097774,0.886140972
33,114863,against,0.067758687,0.467158504
34,114865,against,0,0.636925906
35,114866,against,0.089564759,0.801705733
36,114867,blank,0.096161574,0.207710952
37,114872,against,0,0.761917204
38,114881,against,0.077170834,0.665599152
39,1148910,against,0.087755043,0.814061165
40,114900,against,0.12439625,0.503240019
41,114914,for,0.404191926,0.205266356
42,114921,for,0.699527606,0.143293336
43,114922,for,0.33252044,0.178115137
44,114933,against,0.312643517,0.544778123
45,114970,against,0.016753854,0.926822495
46,114983,against,0,0.845459558
47,114994,against,0.396225043,0.359550819
48,115001,against,0.024654925,0.827870093
49,115002,against,0.124867715,0.666871399
50,115015,for,0.550341457,0.231275424
51,115020,against,0.274883643,0.454283051
52,115030,against,0,0.642532978
53,115031,against,0.051839601,0.730103932
54,115032,for,0.567458667,0.243583277
55,115033,against,0.297403507,0.46049799
56,115034,against,0.034511458,0.868215322
57,115035,against,0.015387419,0.937340897
58,1150513,against,0,0.92233751
