,id,Falcon3-instruct_vote,Falcon3-instruct_for_prob,Falcon3-instruct_against_prob
0,1143124,mot,0.5123615809716284,0.47630584239959717
1,1143313,mot,0.49992288346402347,0.48776331543922424
2,1143416,mot,0.23838385206181556,0.7491025328636169
3,1143517,for,0.6603652110788971,0.3282073438167572
4,1143522,for,0.6148036001250148,0.37357980012893677
5,1143618,for,0.6413208609446883,0.345611572265625
6,1143719,for,0.6864982361439615,0.30190879106521606
7,1143820,for,0.7993934098631144,0.19058407843112946
8,1143921,for,0.560069571249187,0.4248373806476593
9,114465,mot,0.4752056337893009,0.5024368166923523
10,114474,for,0.6411702097393572,0.33703210949897766
11,114481,mot,0.45459529757499695,0.5285478234291077
12,114482,mot,0.4751376239582896,0.5129221081733704
13,114483,mot,0.45160673558712006,0.5201035737991333
14,114613,for,0.841627455316484,0.1509663164615631
15,114622,mot,0.49618636071681976,0.47480544447898865
16,114631,mot,0.21980154351331294,0.7683195471763611
17,114640,for,0.5713163136970252,0.40612685680389404
18,114722,mot,0.3184419795870781,0.6580238342285156
19,114733,mot,0.23071006371174008,0.7586840987205505
20,114741,for,0.8113390682265162,0.1637939065694809
21,114750,for,0.5740991234779358,0.40715286135673523
22,114805,mot,0.4887417401187122,0.4939002990722656
23,114806,for,0.5692275539040565,0.4149886965751648
24,114807,for,0.6813680750783533,0.30400726199150085
25,114808,for,0.6636303944978863,0.32231947779655457
26,114812,mot,0.49253988405689597,0.4936886131763458
27,114813,for,0.5687173320911825,0.41093751788139343
28,114814,mot,0.31856387108564377,0.6524617075920105
29,114821,mot,0.5544799966737628,0.40373939275741577
30,114848,mot,0.28432950866408646,0.7030279636383057
31,114849,mot,0.31774865835905075,0.6297471523284912
32,114854,for,0.8778491839766502,0.09252818673849106
33,114863,for,0.801401779288426,0.18293306231498718
34,114865,for,0.75884430995211,0.21998421847820282
35,114866,for,0.762358202598989,0.21589034795761108
36,114867,for,0.556094154715538,0.41798657178878784
37,114872,mot,0.2706593780312687,0.7137941718101501
38,114881,for,0.693529512733221,0.29255199432373047
39,1148910,for,0.6162875238806009,0.36534473299980164
40,114900,for,0.5480272492859513,0.43873780965805054
41,114914,mot,0.46562281996011734,0.5006310939788818
42,114921,for,0.6418987365905195,0.34297293424606323
43,114922,mot,0.5239953640848398,0.4610612690448761
44,114933,for,0.6663363135885447,0.31184619665145874
45,114970,for,0.7112974906340241,0.2677082121372223
46,114983,mot,0.4678863624576479,0.5093508362770081
47,114994,for,0.5744247697293758,0.40580904483795166
48,115001,for,0.6262651823926717,0.35517561435699463
49,115002,for,0.7938844400923699,0.19501502811908722
50,115015,for,0.6400564089417458,0.3434993624687195
51,115020,for,0.6765325739979744,0.29901421070098877
52,115030,for,0.7003147851210088,0.2894625663757324
53,115031,for,0.5626432849094272,0.4191860854625702
54,115032,for,0.7102274100761861,0.27703070640563965
55,115033,for,0.6823604782111943,0.3066328465938568
56,115034,mot,0.4696556862909347,0.5148982405662537
57,115035,mot,0.5979959822725505,0.39243048429489136
58,1150513,for,0.832219266332686,0.15991075336933136
59,1150514,for,0.775407403241843,0.21442212164402008
