,id,Llama3-instruct_left_vote,Llama3-instruct_left_for_prob,Llama3-instruct_left_against_prob,Llama3-instruct_right_vote,Llama3-instruct_right_for_prob,Llama3-instruct_right_against_prob,Llama3-instruct_center_vote,Llama3-instruct_center_for_prob,Llama3-instruct_center_against_prob
0,1143124,for,0.9840565491467714,0.010497906245291233,mot,0.07666430529206991,0.9026702120900154,for,0.9082894772291183,0.0851708990521729
1,1143313,for,0.7665674202144146,0.21931159775704145,mot,0.14650387689471245,0.8256374299526215,for,0.5578702930361032,0.4248564154841006
2,1143416,for,0.9846297912299633,0.0076674362644553185,for,0.6662229560315609,0.31680325511842966,for,0.9724057633429766,0.02046000026166439
3,1143517,for,0.8650515824556351,0.1264200946316123,mot,0.44722625613212585,0.5345426313579082,for,0.9294641707092524,0.06443137489259243
4,1143522,for,0.9618887007236481,0.02907519042491913,mot,0.32349012792110443,0.6546883285045624,for,0.9023333359509706,0.09022822789847851
5,1143618,for,0.996061067096889,0.000863877241499722,mot,0.16555746085941792,0.8102923482656479,for,0.9865112081170082,0.008603607304394245
6,1143719,for,0.9418666996061802,0.050095452344976366,for,0.7270136475563049,0.2590112565085292,for,0.956359488889575,0.036567529023159295
7,1143820,for,0.6856412142515182,0.2975647714920342,mot,0.13137526344507933,0.8450158834457397,for,0.644700163975358,0.3413984952494502
8,1143921,mot,0.0,0.9803482023999095,mot,0.12968267872929573,0.847993329167366,mot,0.047382901422679424,0.9312614444643259
9,114465,for,0.8615123629570007,0.12787650944665074,mot,0.419328935444355,0.5622013844549656,for,0.8056478425860405,0.18350886763073504
10,114474,for,0.9344815276563168,0.060102601535618305,mot,0.4733952060341835,0.5127170272171497,for,0.9099654546007514,0.0844009950524196
11,114481,for,0.9823129307478666,0.011475064791738987,mot,0.24975242838263512,0.7321830429136753,for,0.8535380018875003,0.1384714397136122
12,114482,for,0.9522395767271519,0.04212016868405044,mot,0.20422020182013512,0.7734842821955681,for,0.9327366072684526,0.06132828374393284
13,114483,mot,0.5306342914700508,0.4508857261389494,mot,0.3440558612346649,0.6324024759232998,for,0.742365226149559,0.24536613281816244
14,114613,for,0.9789717118255794,0.016361350193619728,mot,0.08150167670100927,0.8971510827541351,for,0.9103390872478485,0.08239576709456742
15,114622,for,0.9867635381233413,0.008633241057395935,mot,0.1724518332630396,0.8070426732301712,for,0.8769015483558178,0.11423970456235111
16,114631,for,0.5613532103598118,0.42379439901560545,mot,0.33988302014768124,0.641671072691679,for,0.5819454453885555,0.4050201098434627
17,114640,for,0.9962314504664391,0.0006534953135997057,mot,0.5244560427963734,0.45655903965234756,for,0.992186950519681,0.0040731350891292095
18,114722,for,0.6035539582371712,0.37911028787493706,mot,0.012928357813507318,0.9680865937843919,mot,0.18134348466992378,0.7933138906955719
19,114733,for,0.6944665908813477,0.29107698425650597,mot,0.07845133077353239,0.8961031809449196,mot,0.489925654605031,0.49175119400024414
20,114741,for,0.9737546369433403,0.020344702003058046,for,0.736194297671318,0.24923435878008604,for,0.9799259062856436,0.015398596413433552
21,114750,for,0.9918646328151226,0.0028709296602755785,for,0.8902424871921539,0.09528248058632016,for,0.9924754649400711,0.0030007099267095327
22,114805,mot,0.3813293222337961,0.5968729574233294,mot,0.029107402078807354,0.9532298110425472,mot,0.18377507664263248,0.7909395708702505
23,114806,for,0.982086781412363,0.0110159395262599,mot,0.48073822259902954,0.4903061203658581,for,0.9629059415310621,0.028750699013471603
24,114807,for,0.9803007178124972,0.014821261167526245,for,0.6404573246836662,0.3430658895522356,for,0.9618585631251335,0.03266901633469388
25,114808,for,0.9609556347131729,0.02992757299216464,for,0.5651608109474182,0.41583553329110146,for,0.956540061160922,0.0368826623307541
26,114812,for,0.9473967850208282,0.040297459810972214,mot,0.24692845717072487,0.7311508506536484,for,0.8492103815078735,0.1396882487460971
27,114813,for,0.9430328272283077,0.05147264711558819,mot,0.21292979642748833,0.7684185169637203,for,0.8826452679932117,0.11084997712168843
28,114814,for,0.9898283369839191,0.005638213828206062,mot,0.44417401403188705,0.5302377194166183,for,0.9580759666860104,0.03460550308227539
29,114821,for,0.9866064451634884,0.007988613098859787,mot,0.4487294927239418,0.5299579901620746,for,0.9637896101921797,0.02957540744682774
30,114848,for,0.9700095243752003,0.021854961290955544,mot,0.28387910686433315,0.6887318640947342,for,0.8989870510995388,0.09247668704483658
31,114849,mot,0.506629716604948,0.4748684875667095,mot,0.07910099066793919,0.8982906341552734,mot,0.37294964492321014,0.6080442536622286
32,114854,for,0.990152832120657,0.0042983186431229115,for,0.8776782378554344,0.11156934895552695,for,0.9606130532920361,0.03223852964583784
33,114863,for,0.9670062623918056,0.02689467219170183,mot,0.5737887248396873,0.40728259831666946,for,0.954850971698761,0.038964038889389485
34,114865,for,0.6757743284106255,0.30668622720986605,mot,0.3282644487917423,0.6431912966072559,for,0.8185573797672987,0.17005870048888028
35,114866,for,0.8882100954651833,0.10282956645824015,mot,0.22672376036643982,0.7479591593146324,for,0.8567183762788773,0.1337517665233463
36,114867,for,0.9245878607034683,0.06650398718193173,mot,0.5623988956212997,0.4156738817691803,for,0.9361013770103455,0.05579203541856259
37,114872,mot,0.5030246302485466,0.4751965068280697,mot,0.10231907945126295,0.8702383041381836,mot,0.4834003448486328,0.4962465725839138
38,114881,for,0.9155232459306717,0.07162933889776468,mot,0.4093233346939087,0.5645157191902399,for,0.8744088811799884,0.11590170953422785
39,1148910,for,0.8514142222702503,0.13611435377970338,mot,0.21295959502458572,0.765399731695652,for,0.7620346024632454,0.22683087550103664
