,id,gpt-4o-mini_left_vote,gpt-4o-mini_left_for_lprob,gpt-4o-mini_left_against_lprob,gpt-4o-mini_right_vote,gpt-4o-mini_right_for_lprob,gpt-4o-mini_right_against_lprob,gpt-4o-mini_center_vote,gpt-4o-mini_center_for_lprob,gpt-4o-mini_center_against_lprob
0,1143124,for,-0.0001694518141448,0.0,mot,-14.375323295593262,-0.0003233070601709,for,-0.0001569354208186,-16.50015640258789
1,1143313,for,-0.0002423971163807,-13.500242233276367,mot,-1.7017943859100342,-0.2017944306135177,for,-0.0004727371269837,-12.125473022460938
2,1143416,for,-0.0002292847057105,-8.875228881835938,for,-4.8828707804204896e-05,-11.250048637390137,for,-0.0001284494210267,-17.6251277923584
3,1143517,for,-0.0002229669189546,-16.12522315979004,for,-0.0014304745709523,-6.626430511474609,for,-0.0003821716527454,-17.500381469726562
4,1143522,for,-0.0002483463031239,-17.875247955322266,mot,-5.380011558532715,-0.0050113750621676,for,-0.0003411839716136,-16.625341415405273
5,1143618,for,-0.0001319063303526,-15.750131607055664,for,-0.0022543375380337,-6.127254486083984,for,-0.0002282118803123,-14.87522792816162
6,1143719,for,-0.0001621803821763,-17.00016212463379,for,-0.1271689385175705,-2.127168893814087,for,-0.0001265421597054,-17.125125885009766
7,1143820,for,-0.0001979378139367,-17.500198364257812,mot,-13.750438690185549,-0.0004386558721307,for,-0.0002193908003391,-10.750219345092772
8,1143921,mot,-17.125038146972656,-3.869639476761222e-05,for,-7.088138227118179e-05,-12.875070571899414,mot,-0.97448992729187,-0.4744899272918701
9,114465,for,-0.0002290463016834,-17.500228881835938,for,-0.001134620164521,-6.876134395599365,for,-0.0002409666631137,-14.12524127960205
10,114474,for,-0.0001252309302799,-17.000125885009766,mot,-2.127351999282837,-0.1273518949747085,for,-0.0001980570232262,-14.250198364257812
11,114481,for,-0.0001356016437057,-17.87513542175293,for,-0.0487859509885311,-3.048785924911499,for,-0.0001807761582313,-17.500181198120117
12,114482,for,-0.0002181987656513,0.0,mot,-11.500497817993164,-0.0004975094925612,for,-0.0002220132882939,-15.500222206115724
13,114483,for,-0.0004709490749519,-12.625471115112305,for,-0.0021068404894322,-6.252106666564941,for,-0.0002714681322686,-14.250271797180176
14,114613,for,-0.000148952458403,-18.50014877319336,mot,-1.7018725872039795,-0.2018725872039795,for,-0.0002140266442438,-17.625213623046875
15,114622,for,-0.0001503828971181,-18.625150680541992,mot,-1.3136972188949585,-0.3136972486972809,for,-0.000479647249449,-16.250478744506836
