,id,gpt-4o-mini_vote,gpt-4o-mini_voor_lprob,gpt-4o-mini_tegen_lprob
0,2024D03656,voor,-0.25204962,-11.377049
1,2024D03626,voor,-0.048687633,-9.923688
2,2024D03663,voor,-0.011102767,-15.261103
3,2024D03708,voor,-0.04864255,-13.048642
4,2024D03707,voor,-0.029817952,-14.154818
5,2024D03701,voor,-0.006787486,-10.256787
6,2024D03704,voor,-0.062035132,-13.562036
7,2024D03691,voor,-0.20151936,-14.576519
8,2024D03681,voor,-0.009224242,-7.5092244
9,2024D03687,voor,-0.043109722,-9.91811
10,2024D03690,voor,-0.033738367,-9.908738
11,2024D03662,voor,-0.07899455,-14.078995
12,2024D03671,voor,-0.008164404,-6.1331644
13,2024D03711,voor,-0.018204147,-11.893204
14,2024D03645,voor,-0.026353363,-12.401354
15,2024D03647,voor,-0.02059538,-13.270596
16,2024D03651,voor,-0.018244999,-10.268245
17,2024D03646,voor,-0.078959845,-12.078959
18,2024D03648,voor,-0.00979965,-12.0098
19,2024D03644,voor,-0.062022693,-13.562023
20,2024D03633,voor,-0.011125163,-10.261126
21,2024D03641,voor,-0.01013391,-8.010134
22,2024D03637,voor,-0.06203927,-12.437039
23,2024D03632,voor,-0.1278586,-7.1278586
24,2024D03629,tegen,-6.007453,-0.007452807
25,2024D03628,tegen,-5.6306367,-0.005636639
26,2024D03625,voor,-0.12701242,-12.752012
27,2024D03627,voor,-0.048638463,-14.048638
28,2024D03501,voor,-0.07898408,-14.578984
29,2024D03624,tegen,-10.001057,-0.001056984
30,2024D03504,voor,-0.026399571,-9.9014
31,2024D03502,voor,-0.016088098,-12.8910885
32,2024D03509,tegen,-1.7111197,-0.21111959
33,2024D03623,voor,-0.004119004,-13.379119
34,2024D03507,tegen,-2.931817,-0.056817144
35,2024D03506,voor,-0.023303244,-14.523303
36,2024D03474,voor,-0.016074022,-14.641074
37,2024D03468,voor,-0.47911122,-0.9791112
38,2024D03463,voor,-0.029799672,-15.279799
39,2024D03470,tegen,-2.6988337,-0.073833615
40,2024D03464,voor,-0.023307208,-12.898307
41,2024D03461,voor,-0.011085073,-13.3860855
42,2024D03467,tegen,-10.876342,-0.001341673
43,2024D03471,voor,-0.014280565,-9.63928
44,2024D03477,tegen,-0.8290068,-0.5790068
45,2024D03472,voor,-0.0552758,-8.055276
46,2024D03459,voor,-0.019262495,-4.3942623
47,2024D03465,voor,-0.03810139,-12.663101
48,2024D03453,tegen,-11.753065,-0.003064699
49,2024D03457,voor,-0.038091403,-14.163092
50,2024D03473,voor,-0.090026416,-6.9650264
51,2024D03469,tegen,-3.652475,-0.027475042
52,2024D03458,voor,-0.009789974,-14.63479
53,2024D03462,voor,-0.021219268,-7.3962193
54,2024D03454,tegen,-13.626694,-0.001693269
55,2024D03466,voor,-0.0390135,-7.0390134
56,2024D03476,tegen,-6.8770456,-0.002045817
57,2024D03452,voor,-0.011082011,-15.261082
58,2024D03451,voor,-0.07895621,-12.953957
59,2024D03282,voor,-0.20727056,-1.7072706
60,2024D02182,voor,-0.16030648,-16.535307
61,2024D03281,voor,-0.00872921,-9.508729
62,2024D03175,voor,-0.013891512,-6.6388917
63,2024D03174,voor,-0.023581566,-8.1485815
64,2024D03151,voor,-0.6982015,-0.6982015
65,2024D03279,voor,-0.009784419,-13.759785
66,2024D03020,voor,-0.014205349,-12.639205
67,2024D02733,voor,-0.12699215,-13.126992
68,2024D03158,voor,-0.01829837,-9.268298
69,2024D02851,voor,-0.12701672,-13.627017
70,2024D03108,voor,-0.004145119,-10.254145
71,2024D03118,voor,-0.10031601,-14.975316
72,2024D03114,voor,-0.023504015,-8.523504
73,2024D03109,voor,-0.07897296,-15.078973
74,2024D03113,voor,-0.008770208,-5.38377
75,2024D03110,voor,-0.018191617,-13.143191
76,2024D03040,voor,-0.005273719,-13.630274
77,2024D03132,voor,-0.02980546,-12.904805
78,2024D03032,voor,-0.062052943,-11.312053
79,2024D03026,voor,-0.018197702,-14.768198
80,2024D03022,tegen,-12.125928,-0.000928257
81,2024D03024,voor,-0.078965135,-14.078965
82,2024D03036,voor,-0.038096115,-16.663095
83,2024D03033,voor,-0.100292176,-14.100292
84,2024D03083,tegen,-0.9018969,-0.5268969
85,2024D03085,voor,-0.029813439,-14.529814
86,2024D03087,voor,-0.02980384,-14.529804
87,2024D03084,voor,-0.062027734,-14.562028
88,2024D03081,voor,-0.029817834,-11.279818
89,2024D03062,voor,-0.028320288,-4.2783203
90,2024D03079,voor,-0.023310002,-11.14831
91,2024D03078,voor,-0.012553218,-13.012553
92,2024D03073,voor,-0.07896359,-14.453963
93,2024D03070,voor,-0.012546736,-14.762547
94,2024D03069,voor,-0.062035915,-13.187036
95,2024D03074,voor,-0.038086243,-12.038086
96,2024D03063,voor,-0.014215215,-12.139215
97,2024D02664,voor,-0.062040735,-13.06204
98,2024D02505,voor,-0.02980302,-13.154803
99,2024D02485,voor,-0.0298058,-12.154806
100,2024D02508,voor,-0.004112355,-12.004112
101,2024D02680,voor,-0.014214275,-11.1392145
102,2024D02518,voor,-0.018199576,-13.2682
103,2024D02659,voor,-0.038109083,-11.913109
