,id,Mistral-instruct_A_vote,Mistral-instruct_A_for_prob,Mistral-instruct_A_against_prob,Mistral-instruct_H_vote,Mistral-instruct_H_for_prob,Mistral-instruct_H_against_prob,Mistral-instruct_Sp_vote,Mistral-instruct_Sp_for_prob,Mistral-instruct_Sp_against_prob,Mistral-instruct_FrP_vote,Mistral-instruct_FrP_for_prob,Mistral-instruct_FrP_against_prob,Mistral-instruct_KrF_vote,Mistral-instruct_KrF_for_prob,Mistral-instruct_KrF_against_prob,Mistral-instruct_MDG_vote,Mistral-instruct_MDG_for_prob,Mistral-instruct_MDG_against_prob,Mistral-instruct_SV_vote,Mistral-instruct_SV_for_prob,Mistral-instruct_SV_against_prob,Mistral-instruct_V_vote,Mistral-instruct_V_for_prob,Mistral-instruct_V_against_prob,Mistral-instruct_R_vote,Mistral-instruct_R_for_prob,Mistral-instruct_R_against_prob
0,1143124,against,0.05916097,0.703144036,against,0.039543033,0.780252755,against,0,0.761658922,against,0,0.839814279,against,0.054655656,0.663019568,against,0.102188319,0.580071896,against,0,0.728957005,against,0.048531443,0.712496474,against,0,0.710814446
1,1143313,against,0.041118469,0.834622554,against,0.033689789,0.880336076,against,0,0.868075162,against,0.02033521,0.897805661,against,0.054204233,0.812254585,against,0.077396989,0.763309509,against,0,0.831271797,against,0.042212747,0.837605737,against,0,0.861930788
2,1143416,against,0,0.970908885,against,0.006672274,0.97584651,against,0,0.979519019,against,0,0.983975753,against,0.006883604,0.962242752,against,0.010631555,0.953255132,against,0,0.975542631,against,0,0.968149459,against,0,0.97580944
3,1143517,against,0.156232938,0.693316437,against,0.125526048,0.777194194,against,0.03750382,0.803368822,against,0.035835061,0.853181794,against,0.18087858,0.58635354,against,0.24892468,0.505597383,against,0.043073077,0.755231887,against,0.213753119,0.634952396,against,0.106316738,0.742519654
4,1143522,against,0.046031076,0.666051298,against,0.061668508,0.701691926,against,0,0.753588319,against,0,0.773276165,against,0,0.61721693,against,0.066910475,0.59075579,against,0,0.70008415,against,0.062299524,0.650809526,against,0,0.675793678
5,1143618,against,0.109009005,0.493427731,against,0.365317829,0.404880971,against,0.086069919,0.558645949,against,0.06870532,0.578646824,against,0.218076341,0.343097255,against,0.249584675,0.284950078,against,0,0.450441077,against,0.34184821,0.325505182,against,0,0.507309459
6,1143719,against,0.193363667,0.402439639,for,0.339308195,0.391588911,against,0.093605198,0.487372145,against,0.131551668,0.522740513,for,0.213399038,0.328055382,for,0.268383741,0.307565153,against,0.072633713,0.545628041,for,0.350029804,0.340060607,against,0.138241068,0.435683668
7,1143820,against,0,0.90608336,against,0,0.940896691,against,0,0.921213031,against,0,0.940585879,against,0,0.888115108,against,0.017760841,0.873240203,against,0,0.891404346,against,0,0.911818594,against,0,0.900036931
8,1143921,against,0,0.882899068,against,0.096575227,0.798270285,against,0,0.891338795,against,0.019166717,0.894758696,against,0,0.775025487,against,0,0.929330353,against,0,0.891861547,against,0.093486551,0.758959711,against,0,0.899679072
9,114465,against,0.111835483,0.6536742,against,0.154878512,0.67127949,against,0.046785858,0.713923752,against,0.086727675,0.729419604,against,0,0.554845981,against,0.178390242,0.530098431,against,0,0.683376364,against,0.16051387,0.592264473,against,0.052997574,0.623157591
10,114474,against,0,0.701841906,against,0,0.780805349,against,0,0.748181835,against,0,0.826710533,against,0,0.633373581,against,0,0.669582129,against,0,0.655653507,against,0,0.69844535,against,0,0.681050152
11,114481,against,0.121075109,0.684160046,against,0.133814134,0.707298666,against,0.060665473,0.772785258,against,0.024495889,0.858109832,against,0.070528753,0.655225873,against,0.191949166,0.578744575,against,0,0.767306112,against,0.153862488,0.63562566,against,0.055229131,0.697591804
12,114482,against,0,0.772736594,against,0,0.822195709,against,0,0.781190678,against,0,0.821481794,against,0,0.730003186,against,0,0.678068638,against,0,0.708962791,against,0,0.744515836,against,0,0.730249569
