,id,gpt-4o-mini_vote,gpt-4o-mini_for_lprob,gpt-4o-mini_against_lprob
0,1143124,for,-7.73183855926618e-05,-15.250077247619629
1,1143313,for,-0.00042531240615062416,-10.000425338745117
2,1143416,for,-6.480199954239652e-05,-14.750064849853516
3,1143517,for,-0.00010783452307805419,-15.500107765197754
4,1143522,for,-0.00018339496455155313,-14.62518310546875
5,1143618,for,-0.00012154294381616637,-13.625121116638184
6,1143719,for,-0.00010568885772954673,-15.625105857849121
7,1143820,for,-0.00012523093027994037,-10.50012493133545
8,1143921,mot,-1.7017687559127808,-0.20176871120929718
9,114465,for,-0.00010199354437645525,-14.750102043151855
10,114474,for,-0.00017982252757064998,-13.0001802444458
11,114481,for,-6.289473822107539e-05,-16.625062942504883
12,114482,for,-0.00010413920972496271,-15.500103950500488
13,114483,for,-0.00013560164370574057,-14.75013542175293
14,114613,for,-0.0001322639436693862,-15.25013256072998
15,114622,for,-0.0001363168703392148,-15.250136375427246
16,114631,for,-0.00016825977945700288,-10.500167846679688
17,114640,for,-9.353008499601856e-05,-15.625093460083008
18,114722,for,-0.00011796683247666806,-14.000118255615234
19,114733,for,-7.076218025758862e-05,-13.750070571899414
20,114741,for,-8.125210297293961e-05,-16.87508201599121
21,114750,for,-8.888114098226652e-05,-17.500089645385742
22,114805,for,-0.0001987722353078425,-12.750198364257812
23,114806,for,-0.00010735770774772391,-16.625106811523438
24,114807,for,-0.0001017551330733113,-13.875102043151855
25,114808,for,-0.00013083349040243775,-13.125130653381348
26,114812,for,-0.00014334988372866064,-12.375143051147461
27,114813,for,-0.00012868782505393028,-12.750128746032715
28,114814,for,-0.000133098365040496,-14.000133514404297
29,114821,for,-0.0003556039300747216,-17.000354766845703
30,114848,for,-0.00022976152831688523,-11.250229835510254
31,114849,for,-0.0034458802547305822,-5.753446102142334
32,114854,for,-0.000111768240458332,-12.37511157989502
33,114863,for,-0.00013011827832087874,-15.500129699707031
34,114865,for,-0.00011367550177965313,-14.125113487243652
35,114866,for,-0.00014966767048463225,-16.62514877319336
36,114867,for,-6.372916686814278e-05,-13.3750638961792
37,114872,for,-0.00023166877508629113,-9.250231742858887
38,114881,for,-0.00017040544480551034,-16.37516975402832
39,1148910,for,-0.00017362393555231392,-14.625173568725586
40,114900,for,-0.00015359772078227252,-13.500153541564941
41,114914,for,-0.0001766040368238464,-11.375176429748535
42,114921,for,-0.00012868782505393028,-16.8751277923584
43,114922,for,-6.56364209135063e-05,-15.000065803527832
44,114933,for,-0.0002453662164043635,-13.875245094299316
45,114970,for,-0.00016325322212651372,-11.625163078308105
46,114983,for,-0.00014048899174667895,-14.625140190124512
47,114994,for,-6.575563020305708e-05,-16.500064849853516
