,id,Gemma2-instruct_left_vote,Gemma2-instruct_left_for_prob,Gemma2-instruct_left_against_prob,Gemma2-instruct_right_vote,Gemma2-instruct_right_for_prob,Gemma2-instruct_right_against_prob,Gemma2-instruct_center_vote,Gemma2-instruct_center_for_prob,Gemma2-instruct_center_against_prob
0,1143124,for,0.9988701168913394,0.0,mot,0.0,0.998499461216852,for,0.9967224132851698,0.0
1,1143313,for,0.997886260971427,0.0,for,0.9939094010624104,0.0005581339937634,for,0.9971011203015224,0.0
2,1143416,for,0.9961609721649438,0.0001327700883848,for,0.9974769421387464,0.0004642799322027,for,0.997222626931034,0.00011731840641
3,1143517,for,0.9987657261663117,0.0,for,0.9959530674968846,0.0002139254356734,for,0.9987417255179024,0.0
4,1143522,for,0.9986901844167732,0.0,for,0.8446504317689687,0.149819990620017,for,0.9982288885003072,0.0
5,1143618,for,0.9969547900836916,0.0,for,0.9921461299527436,0.0007148085278458,for,0.997291047766339,0.0
6,1143719,for,0.9978731371229514,0.0,for,0.9959320980706252,0.0,for,0.9986473932731316,0.0
7,1143820,for,0.998017433215864,0.0,mot,0.0,0.9981256456812844,for,0.9947378218057564,0.0005412507453002
8,1143921,mot,0.0,0.998441611416638,for,0.9941411939216778,0.0,mot,0.115400493144989,0.8731682780198753
9,114465,for,0.9935253617586568,0.0,for,0.9942612138111144,0.0015897226985543,for,0.9910249527310953,0.0018085081828758
10,114474,for,0.9910374725004658,0.0035427056718617,for,0.532433807849884,0.4606345994397998,for,0.9930811254889704,0.0032837674953043
11,114481,for,0.995733662159182,0.0,for,0.978514116955921,0.0139388218522071,for,0.9957227329723536,0.0
12,114482,for,0.9982783540399396,0.0,mot,0.0543576665222644,0.9368641979526728,for,0.9979888589587064,0.0
13,114483,for,0.9893968414980918,0.0,for,0.9939474091515876,0.0,for,0.9950858857337151,0.0
14,114613,for,0.9988114655207028,0.0,for,0.6590398550033569,0.3321773237548768,for,0.9977084967540576,0.0
15,114622,for,0.998407305800356,0.0,mot,0.0,0.9978299378417432,for,0.9971568923137966,0.0
16,114631,for,0.9981826135190204,0.0,mot,0.0007178394007496,0.9968577671097592,for,0.9351246124133468,0.0622744380962103
17,114640,for,0.9987981925805798,0.0,mot,0.1162944138050079,0.8777136537246406,for,0.9985903291235444,0.0
18,114722,for,0.9976875938009472,0.0,mot,0.0004118083161301,0.9968124816659838,for,0.9967209377791733,0.0
19,114733,for,0.9972283216193318,0.0,mot,0.0,0.9968296643346548,for,0.996234217658639,0.0
20,114741,for,0.9969088757279678,0.0,for,0.9868698143836808,0.0,for,0.9968445486301788,0.0
21,114750,for,0.9981482917064568,0.0,for,0.995193948954693,0.0,for,0.9982303490396588,0.0
22,114805,for,0.9990136452470324,0.0,for,0.7624046868295409,0.2335925232619047,for,0.9981817934894934,0.0
23,114806,for,0.9989485656951728,0.0,for,0.980431274161674,0.0079605607315897,for,0.9985795565335138,0.0
24,114807,for,0.9985321760759688,0.0,for,0.9934773084532936,0.0003774843353312,for,0.9987918443002854,0.0
25,114808,for,0.9972523931064644,0.0,for,0.9895291277207434,0.0042027304880321,for,0.9977708657970652,0.0
26,114812,for,0.9986987539450638,0.0,mot,0.000387755833799,0.9975918368436396,for,0.997507378611772,0.0
